"Gene_ID","WT_LP1:read count","WT_LP2:read count","WT_EP1:read count","WT_EP2:read count","WT_SP1:read count","WT_SP2:read count"
"gene-SAUSA300_RS02465",1168,1208,1226,992,1222,1351
"gene-SAUSA300_RS02475",1224,1257,1227,958,1203,1273
"gene-SAUSA300_RS02480",1818,2006,752,680,562,636
"gene-SAUSA300_RS02485",295,340,109,111,65,83
"gene-SAUSA300_RS02490",304,331,321,258,252,259
"gene-SAUSA300_RS02495",11,6,4,1,1,0
"gene-SAUSA300_RS02500",859,763,393,318,259,257
"gene-SAUSA300_RS02510",9258,9496,2853,2514,2889,2847
"gene-SAUSA300_RS02515",2567,2600,804,714,997,1022
"gene-SAUSA300_RS02520",995,921,469,420,432,437
"gene-SAUSA300_RS02525",1441,1406,685,600,540,537
"gene-SAUSA300_RS02530",442,569,2002,1885,2620,3056
"gene-SAUSA300_RS02535",2166,1907,1683,1435,1324,1326
"gene-SAUSA300_RS02540",1873,2016,1088,951,702,688
"gene-SAUSA300_RS02545",13606,11446,6477,5846,6497,6365
"gene-SAUSA300_RS02550",937,1063,587,565,693,756
"gene-SAUSA300_RS02555",0,1,0,0,0,0
"gene-SAUSA300_RS02560",6046,5908,2618,2209,2687,2729
"gene-SAUSA300_RS02565",12220,11959,5827,5245,3670,3448
"gene-SAUSA300_RS02575",24904,25274,6065,4960,4263,3917
"gene-SAUSA300_RS02580",1986,2002,238,195,278,251
"gene-SAUSA300_RS02585",7403,7280,1203,1037,898,899
"gene-SAUSA300_RS02590",3158,3302,464,441,440,493
"gene-SAUSA300_RS02595",4697,4463,823,755,892,898
"gene-SAUSA300_RS02600",395,442,57,47,77,54
"gene-SAUSA300_RS02605",639,805,179,184,133,145
"gene-SAUSA300_RS02610",4338,4988,1057,915,642,701
"gene-SAUSA300_RS02615",754,881,333,331,439,442
"gene-SAUSA300_RS02620",2134,2470,596,645,833,883
"gene-SAUSA300_RS02625",31837,34256,6185,5099,5517,5653
"gene-SAUSA300_RS02630",5435,5071,1337,1027,673,650
"gene-SAUSA300_RS02635",31448,34965,11987,10170,39012,39781
"gene-SAUSA300_RS02640",784,808,344,275,603,659
"gene-SAUSA300_RS02645",190,170,53,58,82,103
"gene-SAUSA300_RS02650",560,551,175,155,291,315
"gene-SAUSA300_RS02655",2947,4109,748,1122,926,913
"gene-SAUSA300_RS02660",14476,14462,5195,4602,5439,5470
"gene-SAUSA300_RS02695",367,442,69,64,97,105
"gene-SAUSA300_RS02700",8731,8452,1557,1418,2467,2536
"gene-SAUSA300_RS02705",2081,2309,531,503,763,929
"gene-SAUSA300_RS02710",7197,8371,2812,2396,3968,3964
"gene-SAUSA300_RS02715",2022,2431,198,144,162,181
"gene-SAUSA300_RS02720",3887,3800,314,247,308,353
"gene-SAUSA300_RS02725",8077,8407,562,477,791,838
"gene-SAUSA300_RS02730",21933,23003,2778,2461,3612,3666
"gene-SAUSA300_RS02740",1745,1809,818,590,978,991
"gene-SAUSA300_RS02745",1137,1374,442,408,619,713
"gene-SAUSA300_RS02750",9958,10754,2958,2457,2639,2804
"gene-SAUSA300_RS02755",3142,2779,932,728,1726,1774
"gene-SAUSA300_RS02760",4595,4073,1479,1281,3092,3172
"gene-SAUSA300_RS02765",487,487,165,188,418,418
"gene-SAUSA300_RS02770",1411,1336,524,441,1227,1324
"gene-SAUSA300_RS02775",1077,1012,366,313,1015,1043
"gene-SAUSA300_RS02780",493,622,170,174,460,465
"gene-SAUSA300_RS02785",121,161,56,51,123,141
"gene-SAUSA300_RS02790",8667,8577,3779,3191,4956,4788
"gene-SAUSA300_RS02795",50605,46885,9887,8206,11377,10889
"gene-SAUSA300_RS02800",10357,13110,2882,2578,3612,4024
"gene-SAUSA300_RS02805",56609,50460,10911,9286,10750,10447
"gene-SAUSA300_RS02810",2798,2834,569,534,655,653
"gene-SAUSA300_RS02815",3785,3810,1167,1030,1278,1321
"gene-SAUSA300_RS02820",36207,38727,18008,15600,20485,21327
"gene-SAUSA300_RS02825",25346,27284,13769,12134,15904,16788
"gene-SAUSA300_RS02830",106246,107435,44492,40800,30357,30433
"gene-SAUSA300_RS02835",18555,18392,8553,7355,6025,6144
"gene-SAUSA300_RS02840",18413,21241,9903,8503,6944,7487
"gene-SAUSA300_RS02845",93073,102842,45630,40373,34885,36688
"gene-SAUSA300_RS02850",188998,201682,64408,59829,67425,67006
"gene-SAUSA300_RS02855",2656,2726,494,380,177,155
"gene-SAUSA300_RS02860",5239,5660,4890,4204,4376,4927
"gene-SAUSA300_RS02865",85920,84023,31408,27497,9826,9141
"gene-SAUSA300_RS02870",803,800,957,873,635,601
"gene-SAUSA300_RS02875",2057,2030,7587,6367,2559,2543
"gene-SAUSA300_RS02880",11991,11274,3873,3212,2815,2753
"gene-SAUSA300_RS02885",987,1057,621,514,670,728
"gene-SAUSA300_RS02890",2544,2922,658,689,435,436
"gene-SAUSA300_RS02895",99,149,20,33,39,53
"gene-SAUSA300_RS02900",465,630,309,270,270,266
"gene-SAUSA300_RS02905",3068,2981,1485,1376,1509,1480
"gene-SAUSA300_RS02910",1557,1591,795,775,720,735
"gene-SAUSA300_RS02915",168,204,359,321,102,126
"gene-SAUSA300_RS02920",5770,6302,2374,2137,623,672
"gene-SAUSA300_RS02925",4019,3994,1254,1185,541,614
"gene-SAUSA300_RS02930",2428,2638,1115,1038,748,809
"gene-SAUSA300_RS02935",4551,4988,3618,3469,2623,2766
"gene-SAUSA300_RS02940",3296,3671,959,827,580,555
"gene-SAUSA300_RS02945",2501,2433,759,679,565,459
"gene-SAUSA300_RS02950",4180,3681,1350,1074,1056,854
"gene-SAUSA300_RS02955",876,954,375,359,435,445
"gene-SAUSA300_RS02960",5565,5926,2274,1907,2140,2164
"gene-SAUSA300_RS02965",3816,4234,1059,1008,990,1183
"gene-SAUSA300_RS02970",503,496,52,33,82,66
"gene-SAUSA300_RS02975",5037,5175,3586,2846,1182,1293
"gene-SAUSA300_RS02985",186,193,48,46,192,186
"gene-SAUSA300_RS02990",386,353,133,120,312,306
"gene-SAUSA300_RS02995",8,13,0,5,20,20
"gene-SAUSA300_RS03000",33,49,14,12,42,78
"gene-SAUSA300_RS03005",504,553,1319,1379,3435,4101
"gene-SAUSA300_RS03010",13555,13358,2825,2484,1335,1282
"gene-SAUSA300_RS03015",1852,1842,1050,909,802,898
"gene-SAUSA300_RS03020",528,555,291,301,251,209
"gene-SAUSA300_RS03025",161,177,133,76,100,117
"gene-SAUSA300_RS03030",8533,8459,3354,2746,3260,3332
"gene-SAUSA300_RS03035",726,873,223,180,112,104
"gene-SAUSA300_RS03040",557,643,199,155,107,100
"gene-SAUSA300_RS03045",3435,4296,1608,1400,1689,1950
"gene-SAUSA300_RS03050",17693,17563,19363,16688,7586,7068
"gene-SAUSA300_RS03055",3465,3812,4091,3562,1541,1738
"gene-SAUSA300_RS03060",1743,1881,2199,1870,3519,3545
"gene-SAUSA300_RS03065",1474,1498,1147,1056,733,690
"gene-SAUSA300_RS03070",2121,2083,1527,1182,568,537
"gene-SAUSA300_RS03075",158,188,149,128,39,37
"gene-SAUSA300_RS03080",2224,2224,115,107,286,258
"gene-SAUSA300_RS03085",985,988,53,35,124,120
"gene-SAUSA300_RS03090",0,2,1,0,0,0
"gene-SAUSA300_RS03095",1860,1779,973,937,1274,1389
"gene-SAUSA300_RS03100",138,179,89,100,84,92
"gene-SAUSA300_RS03105",101,137,57,61,94,146
"gene-SAUSA300_RS03110",216,325,131,163,224,255
"gene-SAUSA300_RS03115",160,155,91,93,106,110
"gene-SAUSA300_RS03120",1,2,0,0,0,0
"gene-SAUSA300_RS03125",158,205,92,117,109,176
"gene-SAUSA300_RS03130",110,204,87,95,127,158
"gene-SAUSA300_RS03135",78,95,27,42,42,84
"gene-SAUSA300_RS03140",44,53,7,9,35,52
"gene-SAUSA300_RS03145",100,92,26,23,37,58
"gene-SAUSA300_RS03150",55,90,32,17,31,39
"gene-SAUSA300_RS03155",16,7,3,4,6,3
"gene-SAUSA300_RS03160",131,104,32,33,50,71
"gene-SAUSA300_RS03165",1447,1509,545,515,740,724
"gene-SAUSA300_RS03170",1304,1440,1608,1277,1034,949
"gene-SAUSA300_RS03175",4088,4250,778,691,606,499
"gene-SAUSA300_RS03180",5114,5025,1304,1232,1049,1157
"gene-SAUSA300_RS03185",1845,1941,432,408,358,465
"gene-SAUSA300_RS03190",7309,8747,19567,19335,2574,3046
"gene-SAUSA300_RS03195",0,1,0,0,0,0
"gene-SAUSA300_RS03200",914,907,742,714,630,692
"gene-SAUSA300_RS03205",5984,6764,2498,2202,1830,1885
"gene-SAUSA300_RS03210",97,128,172,117,151,97
"gene-SAUSA300_RS03215",2148,2508,532,535,605,648
"gene-SAUSA300_RS03220",1372,1263,421,326,263,289
"gene-SAUSA300_RS03225",696,861,289,324,260,267
"gene-SAUSA300_RS03230",1462,1594,567,455,498,529
"gene-SAUSA300_RS03235",6168,7938,11078,10172,5538,6152
"gene-SAUSA300_RS03240",2686,3008,1822,1882,418,445
"gene-SAUSA300_RS03245",2935,3874,1132,1093,1469,1795
"gene-SAUSA300_RS03250",2537,3506,3428,3750,4542,5757
"gene-SAUSA300_RS03255",530,579,270,235,370,391
"gene-SAUSA300_RS03260",14,8,2,2,5,10
"gene-SAUSA300_RS03265",16,12,3,2,11,15
"gene-SAUSA300_RS03270",1788,2153,294,288,2693,3513
"gene-SAUSA300_RS03275",1523,1819,474,400,1372,1578
"gene-SAUSA300_RS03280",66,66,22,27,40,41
"gene-SAUSA300_RS03285",23,34,6,1,18,15
"gene-SAUSA300_RS03290",697,605,166,144,395,439
"gene-SAUSA300_RS03295",17,23,6,4,6,10
"gene-SAUSA300_RS03300",6,5,1,4,7,10
"gene-SAUSA300_RS03305",117,129,30,40,80,120
"gene-SAUSA300_RS03310",3766,4287,2278,2198,2592,3093
"gene-SAUSA300_RS03315",24559,26183,9841,9367,43251,49083
"gene-SAUSA300_RS03320",6028,6323,3339,3064,15507,16620
"gene-SAUSA300_RS03325",20146,21362,15380,13551,79689,83321
"gene-SAUSA300_RS03330",2830,2843,2425,2020,2629,2461
"gene-SAUSA300_RS03335",177,223,50,69,75,50
"gene-SAUSA300_RS03340",1943,2125,415,360,553,563
"gene-SAUSA300_RS03345",5819,6304,1847,1679,1282,1353
"gene-SAUSA300_RS03350",2545,3354,1224,1051,944,1077
"gene-SAUSA300_RS03355",2823,2765,1503,1266,1582,1606
"gene-SAUSA300_RS03360",3254,3167,1604,1422,1126,1046
"gene-SAUSA300_RS03365",414,416,172,180,114,130
"gene-SAUSA300_RS03370",2850,2776,379,311,448,440
"gene-SAUSA300_RS03375",9097,10290,21740,20079,30100,33153
"gene-SAUSA300_RS03380",8574,10179,4240,4277,5030,5666
"gene-SAUSA300_RS03385",10,12,9,6,8,4
"gene-SAUSA300_RS03390",1654,1574,561,441,1122,1074
"gene-SAUSA300_RS03395",754,881,201,163,609,573
"gene-SAUSA300_RS03400",403,388,96,94,205,221
"gene-SAUSA300_RS03405",740,760,165,105,417,430
"gene-SAUSA300_RS03410",276,299,585,461,661,670
"gene-SAUSA300_RS03415",67,65,227,169,260,260
"gene-SAUSA300_RS03420",31,32,86,80,141,133
"gene-SAUSA300_RS03425",4820,5217,2765,2370,1677,1689
"gene-SAUSA300_RS03430",3965,4375,1533,1393,1015,1017
"gene-SAUSA300_RS03435",766,948,148,142,159,126
"gene-SAUSA300_RS03445",262,330,193,205,275,339
"gene-SAUSA300_RS03450",4405,5022,1807,1573,900,897
"gene-SAUSA300_RS03455",1064,1274,492,409,612,693
"gene-SAUSA300_RS03460",95,123,54,34,58,58
"gene-SAUSA300_RS03465",835,1078,262,280,329,331
"gene-SAUSA300_RS03470",360,420,486,392,485,472
"gene-SAUSA300_RS03475",2979,3540,2207,2368,1864,2114
"gene-SAUSA300_RS03480",3291,3570,1255,1173,1212,1319
"gene-SAUSA300_RS03485",2885,3266,1169,958,903,908
"gene-SAUSA300_RS03490",3490,4289,2499,2129,2637,2762
"gene-SAUSA300_RS03495",1045,1253,212,174,255,262
"gene-SAUSA300_RS03505",26,65,8,6,11,5
"gene-SAUSA300_RS03510",7572,7084,4627,3948,2739,2597
"gene-SAUSA300_RS03515",163,230,185,165,94,98
"gene-SAUSA300_RS03520",3,2,0,0,0,0
"gene-SAUSA300_RS03525",4006,4378,1124,1151,1121,1250
"gene-SAUSA300_RS03530",2541,2831,801,739,773,798
"gene-SAUSA300_RS03540",2005,2011,512,565,622,686
"gene-SAUSA300_RS03545",124,209,38,45,54,50
"gene-SAUSA300_RS03550",297,326,194,166,209,170
"gene-SAUSA300_RS03555",42,41,15,21,27,31
"gene-SAUSA300_RS03560",3098,3706,1224,1340,673,737
"gene-SAUSA300_RS03565",556,689,267,290,435,409
"gene-SAUSA300_RS03570",135,174,117,109,292,286
"gene-SAUSA300_RS03575",651,769,504,416,363,343
"gene-SAUSA300_RS03580",545,571,199,209,200,153
"gene-SAUSA300_RS03585",17644,17956,7588,6969,7407,6948
"gene-SAUSA300_RS03590",8132,8495,918,669,842,837
"gene-SAUSA300_RS03595",2899,3168,1357,1130,772,823
"gene-SAUSA300_RS03600",1513,1741,565,486,280,319
"gene-SAUSA300_RS03605",5535,8386,3326,3435,2722,3385
"gene-SAUSA300_RS03610",1621,2500,1097,1677,814,845
"gene-SAUSA300_RS03615",2277,2271,1432,1318,1144,1160
"gene-SAUSA300_RS03620",61,126,24,22,8,21
"gene-SAUSA300_RS03625",1548,1589,2014,1572,1630,1719
"gene-SAUSA300_RS03630",2322,2274,2234,1748,2061,2038
"gene-SAUSA300_RS03635",19,45,0,3,2,4
"gene-SAUSA300_RS03640",406,657,114,123,86,124
"gene-SAUSA300_RS03645",263,281,138,130,138,194
"gene-SAUSA300_RS03650",2092,2470,219,195,334,434
"gene-SAUSA300_RS03655",3393,4200,1629,1656,2575,2754
"gene-SAUSA300_RS03660",745,662,359,272,330,354
"gene-SAUSA300_RS03665",7106,8225,46,39,27,19
"gene-SAUSA300_RS03670",10742,9846,28,27,49,59
"gene-SAUSA300_RS03675",25520,25184,228,191,258,209
"gene-SAUSA300_RS03685",4221,4111,2455,2198,1519,1489
"gene-SAUSA300_RS03690",3956,4491,2235,1898,999,996
"gene-SAUSA300_RS03695",2058,2093,1250,1188,1429,1593
"gene-SAUSA300_RS03700",1342,1682,967,954,944,1048
"gene-SAUSA300_RS03705",12784,14219,7788,8550,23184,28152
"gene-SAUSA300_RS03710",4547,4926,2499,2612,7743,9054
"gene-SAUSA300_RS03715",646,842,1291,1111,4212,4257
"gene-SAUSA300_RS03720",1466,1801,1554,1678,7060,8114
"gene-SAUSA300_RS03725",1047,1153,391,410,207,215
"gene-SAUSA300_RS03730",549,601,261,268,194,199
"gene-SAUSA300_RS03735",123,117,47,61,30,47
"gene-SAUSA300_RS03740",380,367,170,137,42,33
"gene-SAUSA300_RS03745",82,121,27,30,42,60
"gene-SAUSA300_RS03750",517,595,209,198,186,160
"gene-SAUSA300_RS03755",456,392,123,126,163,159
"gene-SAUSA300_RS03760",72,69,35,35,39,36
"gene-SAUSA300_RS03765",854,1058,425,423,374,368
"gene-SAUSA300_RS03770",1539,1464,605,592,506,529
"gene-SAUSA300_RS03775",28084,29813,16355,14253,9337,9407
"gene-SAUSA300_RS03785",5260,4780,1308,1131,879,842
"gene-SAUSA300_RS03790",5224,5901,1042,942,876,967
"gene-SAUSA300_RS03795",5271,5230,1128,990,739,820
"gene-SAUSA300_RS03800",6905,8200,1418,1595,691,809
"gene-SAUSA300_RS03805",660,629,184,177,206,195
"gene-SAUSA300_RS03810",936,1128,341,274,336,338
"gene-SAUSA300_RS03815",2388,2546,1615,1321,1599,1572
"gene-SAUSA300_RS03820",0,0,0,0,0,0
"gene-SAUSA300_RS03825",34344,36267,8174,7117,3681,3748
"gene-SAUSA300_RS03830",2235,1991,880,752,596,556
"gene-SAUSA300_RS03835",1190,1312,710,594,419,411
"gene-SAUSA300_RS03840",9351,9240,7913,6684,3247,3160
"gene-SAUSA300_RS03845",27042,29576,17435,15346,6255,6486
"gene-SAUSA300_RS03850",16671,18365,7298,6355,3690,3918
"gene-SAUSA300_RS03860",1,2,3,1,5,6
"gene-SAUSA300_RS03865",107,127,18,12,81,87
"gene-SAUSA300_RS03870",77,134,15,15,30,49
"gene-SAUSA300_RS03875",337,356,4,12,72,61
"gene-SAUSA300_RS03880",3746,4373,30,20,412,437
"gene-SAUSA300_RS03885",1468,1576,740,709,526,512
"gene-SAUSA300_RS03890",1171,1396,615,496,369,334
"gene-SAUSA300_RS03895",298,394,97,108,99,169
"gene-SAUSA300_RS03900",1600,2240,994,1380,814,1057
"gene-SAUSA300_RS03905",1124,1344,677,636,710,703
"gene-SAUSA300_RS03910",3173,3159,1529,1341,983,1083
"gene-SAUSA300_RS03915",4025,4232,2544,2414,2463,2613
"gene-SAUSA300_RS03920",93,112,30,43,48,55
"gene-SAUSA300_RS03925",294,297,128,89,208,209
"gene-SAUSA300_RS03930",1217,1509,614,586,609,766
"gene-SAUSA300_RS03935",3849,4432,917,759,488,555
"gene-SAUSA300_RS03940",786,865,170,193,98,106
"gene-SAUSA300_RS03945",3943,4093,2313,2092,1302,1385
"gene-SAUSA300_RS03950",70,96,191,159,92,50
"gene-SAUSA300_RS03955",21,15,57,47,31,26
"gene-SAUSA300_RS03960",58649,59696,29285,26905,34113,34767
"gene-SAUSA300_RS03965",19106,19839,7209,6136,3782,3824
"gene-SAUSA300_RS03970",115,141,42,44,13,11
"gene-SAUSA300_RS03975",3259,3482,1143,1025,400,451
"gene-SAUSA300_RS03980",18,16,1,2,4,0
"gene-SAUSA300_RS03985",200,186,101,75,51,35
"gene-SAUSA300_RS03990",978,1341,160,177,150,188
"gene-SAUSA300_RS03995",27,35,2,7,8,5
"gene-SAUSA300_RS04000",3010,2880,3241,2934,3503,3836
"gene-SAUSA300_RS04005",4046,3998,3599,3144,3633,3952
"gene-SAUSA300_RS04010",5376,5283,3046,2618,2971,3064
"gene-SAUSA300_RS04015",2752,2836,1236,1135,940,984
"gene-SAUSA300_RS04020",354,382,198,166,141,161
"gene-SAUSA300_RS04025",1574,2040,883,778,650,649
"gene-SAUSA300_RS04030",17515,17418,3814,2936,3298,3307
"gene-SAUSA300_RS04040",1906,2013,1116,963,769,840
"gene-SAUSA300_RS04045",2874,2873,2634,2078,2914,2825
"gene-SAUSA300_RS04050",2385,2328,1822,1506,1598,1590
"gene-SAUSA300_RS04060",16019,18613,2310,1992,1934,1942
"gene-SAUSA300_RS04065",2139,2232,1739,1551,1585,1457
"gene-SAUSA300_RS04070",5649,5340,3698,3209,1752,1894
"gene-SAUSA300_RS04075",55105,56591,14625,13340,2035,2103
"gene-SAUSA300_RS04080",116364,129242,35041,28873,7480,7999
"gene-SAUSA300_RS04085",61304,60639,19015,15473,4619,4810
"gene-SAUSA300_RS04090",24772,25355,6558,5540,1816,2091
"gene-SAUSA300_RS04095",81655,78282,18882,15704,6066,6384
"gene-SAUSA300_RS04100",47730,59451,17768,15166,11647,12813
"gene-SAUSA300_RS04105",2431,2545,2919,2916,3589,3996
"gene-SAUSA300_RS04110",1068,1050,490,382,258,289
"gene-SAUSA300_RS04115",2835,2516,1522,1204,1263,1284
"gene-SAUSA300_RS04120",6090,5899,3345,2785,2361,2415
"gene-SAUSA300_RS04125",158,221,137,102,126,115
"gene-SAUSA300_RS04135",159,246,144,183,65,79
"gene-SAUSA300_RS04140",50,39,28,31,12,21
"gene-SAUSA300_RS04145",3972,4820,3154,3621,1521,1745
"gene-SAUSA300_RS04150",8,5,0,1,1,2
"gene-SAUSA300_RS04155",138,141,96,93,96,145
"gene-SAUSA300_RS04160",420,473,159,163,187,230
"gene-SAUSA300_RS04165",16746,16768,32865,28510,29933,31337
"gene-SAUSA300_RS04170",53,73,41,38,53,50
"gene-SAUSA300_RS04175",126,108,228,201,505,450
"gene-SAUSA300_RS04180",166,117,84,69,61,52
"gene-SAUSA300_RS04185",1041,1239,1605,1395,4134,4070
"gene-SAUSA300_RS04190",10315,13281,14799,13223,4082,4210
"gene-SAUSA300_RS04195",57,118,39,28,58,32
"gene-SAUSA300_RS04200",150,119,38,49,56,64
"gene-SAUSA300_RS04205",493,529,123,135,95,117
"gene-SAUSA300_RS04210",9,11,9,9,3,18
"gene-SAUSA300_RS04215",135,158,163,131,141,139
"gene-SAUSA300_RS04220",195,234,189,178,420,372
"gene-SAUSA300_RS04225",233,297,144,128,307,425
"gene-SAUSA300_RS04230",348,403,439,367,446,443
"gene-SAUSA300_RS04235",351,361,172,202,259,284
"gene-SAUSA300_RS04240",9368,9107,2630,2638,2923,3018
"gene-SAUSA300_RS04245",147,157,242,206,256,257
"gene-SAUSA300_RS04250",215,305,69,54,42,76
"gene-SAUSA300_RS04255",1090,1187,366,267,1169,1232
"gene-SAUSA300_RS04260",1143,1346,227,205,271,265
"gene-SAUSA300_RS04265",8839,8288,1436,1318,2645,2647
"gene-SAUSA300_RS04270",2646,3443,1068,1122,2281,2839
"gene-SAUSA300_RS04275",0,0,1,0,0,0
"gene-SAUSA300_RS04280",476,575,1243,1230,452,481
"gene-SAUSA300_RS04290",97,163,364,264,205,220
"gene-SAUSA300_RS04295",20,34,40,52,23,46
"gene-SAUSA300_RS04300",1848,1817,140,149,179,206
"gene-SAUSA300_RS04305",1823,1559,103,124,199,180
"gene-SAUSA300_RS04310",1910,2114,119,89,239,257
"gene-SAUSA300_RS04315",374,415,151,177,279,307
"gene-SAUSA300_RS04320",571,880,331,476,545,852
"gene-SAUSA300_RS04325",369,622,282,299,411,498
"gene-SAUSA300_RS04330",195,207,199,214,330,357
"gene-SAUSA300_RS04335",1882,1977,1980,1725,2828,2823
"gene-SAUSA300_RS04340",1,1,3,1,0,7
"gene-SAUSA300_RS04345",20,10,15,13,13,12
"gene-SAUSA300_RS04350",0,0,0,0,0,0
"gene-SAUSA300_RS04355",29,51,34,40,43,53
"gene-SAUSA300_RS04360",23,12,15,16,15,27
"gene-SAUSA300_RS04365",638,627,456,417,641,725
"gene-SAUSA300_RS04370",221,206,120,137,178,189
"gene-SAUSA300_RS04375",8,16,5,7,8,14
"gene-SAUSA300_RS04380",382,482,198,190,300,300
"gene-SAUSA300_RS04385",152,159,39,31,108,70
"gene-SAUSA300_RS04390",4213,5369,1186,1169,780,765
"gene-SAUSA300_RS04395",239,282,525,439,1676,1688
"gene-SAUSA300_RS04400",15301,23683,14582,15725,25909,33581
"gene-SAUSA300_RS04405",2930,2615,1561,1243,1732,1366
"gene-SAUSA300_RS04410",12208,12423,5897,5044,4776,4597
"gene-SAUSA300_RS04415",9265,9580,5212,4519,3006,3059
"gene-SAUSA300_RS04420",7658,8050,3987,3430,2902,3007
"gene-SAUSA300_RS04425",2166,2296,855,759,667,749
"gene-SAUSA300_RS04430",6814,7339,3028,2706,3213,3552
"gene-SAUSA300_RS04435",0,1,0,0,0,0
"gene-SAUSA300_RS04440",24,21,14,11,10,17
"gene-SAUSA300_RS04445",1595,1483,344,271,577,681
"gene-SAUSA300_RS04450",1218,1277,284,261,578,662
"gene-SAUSA300_RS04455",0,0,0,0,0,0
"gene-SAUSA300_RS04460",2106,2109,1192,1028,925,957
"gene-SAUSA300_RS04465",533,573,267,249,181,176
"gene-SAUSA300_RS04470",1926,1771,775,614,617,778
"gene-SAUSA300_RS04475",9416,9872,3324,2810,3764,3753
"gene-SAUSA300_RS04480",512,643,264,273,336,425
"gene-SAUSA300_RS04485",90,100,17,8,15,34
"gene-SAUSA300_RS04490",2128,2409,1151,1164,1679,1892
"gene-SAUSA300_RS04495",1509,1696,1005,808,1236,1190
"gene-SAUSA300_RS04500",3452,3539,2030,1863,2554,2772
"gene-SAUSA300_RS04505",7,16,2,4,2,1
"gene-SAUSA300_RS04510",273,267,92,81,95,101
"gene-SAUSA300_RS04515",13869,14114,8649,7959,7237,7350
"gene-SAUSA300_RS04520",5143,6088,3478,3085,3484,3936
"gene-SAUSA300_RS04525",115,120,67,55,87,86
"gene-SAUSA300_RS04530",5701,7276,3761,3314,4235,4754
"gene-SAUSA300_RS04535",1462,1894,348,321,527,537
"gene-SAUSA300_RS04540",521,627,361,269,369,412
"gene-SAUSA300_RS04545",2229,2618,2003,1839,2403,2652
"gene-SAUSA300_RS04550",540,489,121,121,126,146
"gene-SAUSA300_RS04555",62,71,31,30,48,31
"gene-SAUSA300_RS04560",17446,19295,8050,6908,4161,4337
"gene-SAUSA300_RS04565",3771,4476,1499,1399,4523,5017
"gene-SAUSA300_RS04570",1250,1322,170,99,217,225
"gene-SAUSA300_RS04575",887,951,475,437,316,380
"gene-SAUSA300_RS04580",76,106,39,35,31,57
"gene-SAUSA300_RS04585",372,463,56,58,96,122
"gene-SAUSA300_RS04590",9,5,0,0,1,0
"gene-SAUSA300_RS04595",1334,1428,268,231,346,359
"gene-SAUSA300_RS04600",7105,7234,1363,1099,1584,1570
"gene-SAUSA300_RS04605",103,169,21,26,37,31
"gene-SAUSA300_RS04610",683,688,135,131,208,238
"gene-SAUSA300_RS04615",22420,25744,5424,4783,5702,6201
"gene-SAUSA300_RS04620",757,727,557,559,529,518
"gene-SAUSA300_RS04625",6527,7584,1926,1764,990,1039
"gene-SAUSA300_RS04630",1296,1789,1886,1707,1517,1913
"gene-SAUSA300_RS04635",3804,3628,692,634,300,255
"gene-SAUSA300_RS04640",860,908,7554,6764,16163,16558
"gene-SAUSA300_RS04645",3348,3432,15152,12881,20755,22542
"gene-SAUSA300_RS04655",247,334,1776,1696,1344,1267
"gene-SAUSA300_RS04660",639,640,170,148,72,71
"gene-SAUSA300_RS04665",868,910,63,51,34,41
"gene-SAUSA300_RS04670",30165,32061,10940,9361,3660,3430
"gene-SAUSA300_RS04675",733,914,200,156,141,155
"gene-SAUSA300_RS04680",530,640,176,135,155,130
"gene-SAUSA300_RS04685",842,885,215,216,153,185
"gene-SAUSA300_RS04690",3205,3224,1068,974,1109,1192
"gene-SAUSA300_RS04695",3624,4042,1341,1149,1701,1785
"gene-SAUSA300_RS04700",19884,21707,5370,4661,4701,4810
"gene-SAUSA300_RS04705",544,701,155,150,345,299
"gene-SAUSA300_RS04710",13959,14566,3257,2819,1992,2279
"gene-SAUSA300_RS04715",5236,5092,2053,1719,972,860
"gene-SAUSA300_RS04720",21025,22786,3775,3596,6790,7377
"gene-SAUSA300_RS04725",108,162,62,51,63,80
"gene-SAUSA300_RS04730",30702,30640,1943,1724,1239,1424
"gene-SAUSA300_RS04735",23,55,13,8,19,24
"gene-SAUSA300_RS04740",10,17,3,2,10,1
"gene-SAUSA300_RS04745",7,15,0,2,2,6
"gene-SAUSA300_RS04750",97,102,34,35,51,70
"gene-SAUSA300_RS04755",188,225,40,39,72,77
"gene-SAUSA300_RS04760",616,657,2014,1946,2412,2640
"gene-SAUSA300_RS04765",87,138,52,37,74,98
"gene-SAUSA300_RS04770",18148,15545,1054,893,648,564
"gene-SAUSA300_RS04775",14585,14546,1797,1482,1694,1710
"gene-SAUSA300_RS04785",358,492,473,421,782,758
"gene-SAUSA300_RS04790",516,449,461,381,614,650
"gene-SAUSA300_RS04795",816,794,771,623,1488,1743
"gene-SAUSA300_RS04800",1611,1420,1132,1059,2660,2710
"gene-SAUSA300_RS04805",5403,4787,3353,3061,8968,9548
"gene-SAUSA300_RS04810",20,25,1,2,10,13
"gene-SAUSA300_RS04815",14,15,10,2,11,4
"gene-SAUSA300_RS04820",30,25,16,20,26,32
"gene-SAUSA300_RS04825",36,57,35,48,119,98
"gene-SAUSA300_RS04830",96,119,67,85,74,64
"gene-SAUSA300_RS04835",4612,4733,1572,1461,895,787
"gene-SAUSA300_RS04840",24019,26075,34183,28464,26216,25855
"gene-SAUSA300_RS04845",8892,10068,1359,1303,1988,2235
