"Gene_ID","WT_LP1:read count","WT_LP2:read count","WT_EP1:read count","WT_EP2:read count","WT_SP1:read count","WT_SP2:read count"
"gene-SAUSA300_RS00580",2989,3313,1162,993,2548,2748
"gene-SAUSA300_RS00585",432559,415615,3109,2729,1557,1560
"gene-SAUSA300_RS00590",9223,13231,2785,3300,1735,2320
"gene-SAUSA300_RS00595",616,706,165,150,499,481
"gene-SAUSA300_RS00600",339,351,10,28,208,184
"gene-SAUSA300_RS00605",1454,1552,24,39,750,771
"gene-SAUSA300_RS00610",48,45,0,0,71,52
"gene-SAUSA300_RS00615",30,45,0,6,45,45
"gene-SAUSA300_RS00620",92,109,7,4,102,130
"gene-SAUSA300_RS00625",40,39,13,12,43,66
"gene-SAUSA300_RS00630",108,109,15,16,84,130
"gene-SAUSA300_RS00635",200,193,44,26,174,163
"gene-SAUSA300_RS00640",90,78,20,22,83,78
"gene-SAUSA300_RS00645",153,117,24,20,102,132
"gene-SAUSA300_RS00650",233,230,54,63,205,152
"gene-SAUSA300_RS00660",262,360,216,208,215,275
"gene-SAUSA300_RS00665",392,428,306,311,606,575
"gene-SAUSA300_RS00670",843,1029,3097,2645,2360,2718
"gene-SAUSA300_RS00675",0,0,0,0,0,0
"gene-SAUSA300_RS00680",125,126,141,100,41,76
"gene-SAUSA300_RS00685",14,12,15,13,32,38
"gene-SAUSA300_RS00690",58,58,41,32,49,45
"gene-SAUSA300_RS00695",119,151,57,48,98,99
"gene-SAUSA300_RS00700",657,658,307,277,457,426
"gene-SAUSA300_RS00705",4252,4057,1628,1279,1586,1579
"gene-SAUSA300_RS00710",5784,5474,8976,7335,3321,3507
"gene-SAUSA300_RS00715",880,866,947,808,1041,906
"gene-SAUSA300_RS00725",37,31,28,24,20,27
"gene-SAUSA300_RS00730",318,323,164,103,281,277
"gene-SAUSA300_RS00735",2008,1891,480,349,436,421
"gene-SAUSA300_RS00740",9367,8498,2725,2206,3297,3507
"gene-SAUSA300_RS00745",68,60,70,57,70,88
"gene-SAUSA300_RS00750",38,34,23,26,24,17
"gene-SAUSA300_RS00755",51,73,45,52,34,53
"gene-SAUSA300_RS00760",126,139,251,207,158,127
"gene-SAUSA300_RS00765",54,93,49,54,37,60
"gene-SAUSA300_RS00770",492,479,412,338,623,673
"gene-SAUSA300_RS00775",1,1,0,0,0,2
"gene-SAUSA300_RS00790",470,555,443,394,557,559
"gene-SAUSA300_RS00800",3755,3954,13996,11800,1259,1238
"gene-SAUSA300_RS00805",31,29,78,88,66,65
"gene-SAUSA300_RS00810",41,43,95,76,54,43
"gene-SAUSA300_RS00815",36,31,64,87,46,61
"gene-SAUSA300_RS00825",25,44,59,48,48,40
"gene-SAUSA300_RS00830",62,63,44,58,45,52
"gene-SAUSA300_RS00835",69,69,43,52,56,62
"gene-SAUSA300_RS00840",34,39,25,29,33,30
"gene-SAUSA300_RS00845",110,133,71,89,80,134
"gene-SAUSA300_RS00850",91,113,52,70,64,79
"gene-SAUSA300_RS00855",38,74,33,16,21,36
"gene-SAUSA300_RS00860",124,145,57,41,56,54
"gene-SAUSA300_RS00865",100,98,49,43,50,57
"gene-SAUSA300_RS00870",160,156,81,41,56,48
"gene-SAUSA300_RS00875",377,389,112,91,170,173
"gene-SAUSA300_RS00880",585,509,211,143,199,168
"gene-SAUSA300_RS00885",10,15,5,2,17,23
"gene-SAUSA300_RS00890",109,82,30,23,103,93
"gene-SAUSA300_RS00895",871,756,6970,5791,14164,14121
"gene-SAUSA300_RS00900",486,572,457,425,829,997
"gene-SAUSA300_RS00905",20,25,18,23,39,40
"gene-SAUSA300_RS00910",20859,23488,1596,1548,3594,3900
"gene-SAUSA300_RS00915",12536,13070,579,568,1524,1694
"gene-SAUSA300_RS00920",14337,13771,710,557,1710,1835
"gene-SAUSA300_RS00925",9511,9155,622,510,1305,1269
"gene-SAUSA300_RS00930",18896,20050,1423,1297,2456,2781
"gene-SAUSA300_RS00935",7089,7596,890,762,2125,2140
"gene-SAUSA300_RS00940",241,228,284,207,1290,1424
"gene-SAUSA300_RS00945",690,724,5176,4933,2527,2857
"gene-SAUSA300_RS00950",4147,4372,29730,26068,19590,20413
"gene-SAUSA300_RS00955",553,602,3361,2862,2072,2334
"gene-SAUSA300_RS00960",7995,9139,8927,7080,1973,1888
"gene-SAUSA300_RS00965",101,117,52,56,69,54
"gene-SAUSA300_RS00970",178,190,124,106,161,145
"gene-SAUSA300_RS00975",103,110,82,90,126,89
"gene-SAUSA300_RS00980",152,129,133,98,100,122
"gene-SAUSA300_RS00985",3501,4079,968,836,1061,1049
"gene-SAUSA300_RS00990",263,254,554,522,561,573
"gene-SAUSA300_RS00995",1725,1729,4818,4092,3853,4001
"gene-SAUSA300_RS01000",0,0,0,0,0,0
"gene-SAUSA300_RS01005",15021,15501,32438,28144,1916,1985
"gene-SAUSA300_RS01010",204,159,10938,10044,18328,19604
"gene-SAUSA300_RS01015",27,39,3179,2520,5808,6233
"gene-SAUSA300_RS01020",127,153,4253,3594,10270,11261
"gene-SAUSA300_RS01025",170,183,4167,3524,12842,13447
"gene-SAUSA300_RS01030",23,61,36,32,132,137
"gene-SAUSA300_RS01035",5170,5112,3159,2812,4387,4730
"gene-SAUSA300_RS01040",1115,1412,701,836,1089,1314
"gene-SAUSA300_RS01045",336,476,267,270,347,431
"gene-SAUSA300_RS01050",907,1332,714,761,1044,1329
"gene-SAUSA300_RS01055",965,938,368,396,1143,1143
"gene-SAUSA300_RS01060",77,124,103,99,678,711
"gene-SAUSA300_RS01065",24,49,62,58,318,315
"gene-SAUSA300_RS01070",289,299,342,317,1803,1822
"gene-SAUSA300_RS01075",463,526,552,523,1891,1962
"gene-SAUSA300_RS01080",225,356,356,372,170,195
"gene-SAUSA300_RS01085",348,429,834,760,570,485
"gene-SAUSA300_RS01090",436,364,53,42,48,73
"gene-SAUSA300_RS01095",156,140,566,422,68,96
"gene-SAUSA300_RS01100",256,302,1853,1638,174,156
"gene-SAUSA300_RS01105",387,387,2144,2027,251,279
"gene-SAUSA300_RS01110",327,313,1185,1148,187,202
"gene-SAUSA300_RS01115",1153,898,3209,2885,629,647
"gene-SAUSA300_RS01120",308,315,963,764,223,238
"gene-SAUSA300_RS01125",324,334,1143,991,302,299
"gene-SAUSA300_RS01130",342,565,55,68,117,74
"gene-SAUSA300_RS01135",383,354,29865,24908,1744,1697
"gene-SAUSA300_RS01140",456,515,562,487,478,479
"gene-SAUSA300_RS01145",939,980,738,633,525,584
"gene-SAUSA300_RS01150",439,451,411,467,277,299
"gene-SAUSA300_RS01155",19871,21958,133113,115999,7753,7759
"gene-SAUSA300_RS01160",14251,13292,84779,77025,1250,1152
"gene-SAUSA300_RS01170",1712,1886,529,547,81,79
"gene-SAUSA300_RS01175",34,37,6,3,18,15
"gene-SAUSA300_RS01180",332,415,61,83,168,189
"gene-SAUSA300_RS01185",0,3,0,0,1,1
"gene-SAUSA300_RS01195",57,55,39,60,979,1169
"gene-SAUSA300_RS01200",56,60,79,63,1729,1799
"gene-SAUSA300_RS01205",15,14,45,34,813,894
"gene-SAUSA300_RS01210",30,48,64,58,1272,1351
"gene-SAUSA300_RS01215",41,63,273,246,3527,3589
"gene-SAUSA300_RS01220",1815,1825,302,287,404,386
"gene-SAUSA300_RS01225",2010,2275,2816,2527,757,709
"gene-SAUSA300_RS01230",372,341,338,350,53,59
"gene-SAUSA300_RS01235",42,49,45,46,3,15
"gene-SAUSA300_RS01240",41472,42053,23153,21400,2473,2502
"gene-SAUSA300_RS01245",48,83,23,25,5,3
"gene-SAUSA300_RS01250",339522,351944,300260,272416,90202,93749
"gene-SAUSA300_RS01260",650,679,1227,1088,421,493
"gene-SAUSA300_RS01265",287,386,184,196,368,473
"gene-SAUSA300_RS01270",0,0,0,0,0,0
"gene-SAUSA300_RS01275",43,38,61,54,64,38
"gene-SAUSA300_RS01280",2,6,4,3,5,4
"gene-SAUSA300_RS01285",19,21,7,23,16,20
"gene-SAUSA300_RS01290",32,31,15,10,52,40
"gene-SAUSA300_RS01295",64,53,26,32,44,68
"gene-SAUSA300_RS01300",0,0,0,0,0,0
"gene-SAUSA300_RS01305",123,151,78,60,85,132
"gene-SAUSA300_RS01310",4190,3988,1530,1517,2231,2209
"gene-SAUSA300_RS01315",1487,1478,448,451,1122,1021
"gene-SAUSA300_RS01320",4294,4803,1442,1328,2414,2527
"gene-SAUSA300_RS01325",2341,2485,502,442,430,480
"gene-SAUSA300_RS01330",1237,1503,424,366,506,523
