"gene_id","camSd69_rep1","camSd69_rep2","camSd69_rep3","camSKI_rep1","camSKI_rep2","camSKI_rep3","LAC_wt_rep1","LAC_wt_rep2","LAC_wt_rep3","LAC_ΔcamS_rep1","LAC_ΔcamS_rep2","LAC_ΔcamS_rep3"
"SAUSA300_RS02435",0,0,0,0,0,0,0,0,0,0,0,0
"SAUSA300_RS02455",873,948,857,735,1029,706,695,1071,859,795,814,904
"tmk",395,383,413,330,479,264,299,458,393,396,336,438
"SAUSA300_RS02465",21706,23860,23507,24873,28202,21794,20108,30872,23245,20968,20406,22717
"SAUSA300_RS02475",3606,3834,3484,4581,6560,3670,4619,6626,4802,3271,2760,3341
"SAUSA300_RS02480",3106,3453,2996,3995,5324,3311,3471,5133,4289,3059,2591,2983
"yabA",1242,967,1197,1222,1854,1105,1497,1783,1495,1187,845,1112
"SAUSA300_RS02490",245,232,224,204,230,172,162,248,233,228,188,307
"SAUSA300_RS02495",44,70,44,33,46,29,22,58,83,35,31,57
"rsmI",453,571,553,396,584,393,395,535,487,405,542,558
"metG",7635,7959,8740,5377,7149,5135,5135,8211,6908,7108,7998,9787
"SAUSA300_RS02515",5926,6721,7007,4776,6133,4257,3782,6782,5710,5774,6557,8022
"rnmV",1418,1785,1498,1223,1532,1039,976,1855,1480,1329,1707,1704
"rsmA",1895,2367,1923,1347,1975,1249,1366,2446,1994,1616,2163,2285
"SAUSA300_RS02530",39506,39769,47362,18954,31263,17630,23743,36729,23965,38846,35967,45842
"ispE",1649,1870,1629,1035,1383,935,1104,1439,1111,1585,1536,1786
"purR",2665,2636,2632,1407,2023,1398,1407,2333,1678,2416,2368,3095
"SAUSA300_RS02545",13674,13625,14491,14379,19860,13306,15896,21602,20356,12230,10862,14332
"spoVG",24911,28779,32686,32171,41633,28482,25770,47673,44994,20580,20596,28857
"SAUSA300_RS02555",5,0,6,6,1,1,5,6,7,6,3,5
"glmU",20345,21838,24000,14077,15549,13211,11427,17750,17948,17507,21476,23169
"SAUSA300_RS02565",22621,22504,25780,15959,19188,14882,14935,20723,20291,19738,22577,26497
"SAUSA300_RS02575",15797,17869,20473,10985,12850,9730,10066,14962,15365,13626,16751,19896
"pth",1246,1404,1325,1142,1475,836,905,1416,1123,1163,1313,1350
"mfd",6761,7607,7182,5850,8028,4985,5451,9337,7462,7531,7250,9086
"SAUSA300_RS02590",4724,5124,4786,5215,6184,4313,4950,6954,5926,4807,4307,5791
"SAUSA300_RS02595",5915,6414,6425,6665,8048,5768,5902,8402,7728,6515,5585,7336
"SAUSA300_RS02600",833,1253,925,823,1013,803,620,1177,1474,766,840,856
