"gene_id","camSd69_rep1","camSd69_rep2","camSd69_rep3","camSKI_rep1","camSKI_rep2","camSKI_rep3","LAC_wt_rep1","LAC_wt_rep2","LAC_wt_rep3","LAC_ΔcamS_rep1","LAC_ΔcamS_rep2","LAC_ΔcamS_rep3"
"SAUSA300_RS03435",453,429,383,301,428,257,359,437,310,457,329,547
"SAUSA300_RS03445",540,431,451,273,433,265,320,417,223,401,399,543
"SAUSA300_RS03450",2606,2631,2163,2452,3712,1930,2724,3243,2220,2528,2618,2548
"graX",2370,2649,2155,2222,3015,1862,1884,3010,2282,2324,2148,2517
"graR",1714,1816,1735,1454,2136,1087,1336,2155,1782,1580,1482,1707
"graS",2905,3013,3076,2706,3670,2002,2462,3896,2922,3118,2569,3327
"vraF",3752,3480,3022,1928,3729,1828,2619,2808,2437,4468,2590,3533
"vraG",8742,8518,6822,4418,9677,4609,6056,7218,5130,10678,5493,8903
"SAUSA300_RS03480",4214,3934,4923,4394,5387,3904,4457,5926,3588,3784,3626,4781
"SAUSA300_RS03485",9935,10076,12029,11026,13161,10529,9919,14637,10979,8684,9528,12181
"SAUSA300_RS03490",9837,7910,8752,13317,18457,10475,16509,20784,12211,10045,10379,9741
"SAUSA300_RS03495",1525,1158,1506,1348,2200,1173,1337,2092,1190,1562,1240,1568
"SAUSA300_RS03500",477,431,374,246,477,249,328,520,220,396,355,480
"sarX",49,38,41,17,43,25,31,34,16,40,44,48
"SAUSA300_RS03510",9514,10790,10530,8427,10162,7757,6918,10910,9882,8632,10718,11331
"SAUSA300_RS03515",7045,7626,7958,6218,7880,5477,5274,7920,6355,6432,7629,8081
"SAUSA300_RS03520",0,0,0,0,0,0,0,0,0,0,0,0
"SAUSA300_RS03525",1821,1883,1917,1756,2536,1695,1801,2672,1919,1572,1524,2080
"SAUSA300_RS03530",5625,5805,6000,5093,6745,4532,4426,7612,6045,5084,4942,6455
"SAUSA300_RS03540",3492,3573,3795,2988,4216,2531,2692,4130,3256,3717,2999,4193
"SAUSA300_RS03545",1220,1148,1393,1156,1636,1004,916,1564,937,1442,972,1433
"SAUSA300_RS03550",349,240,306,278,444,282,358,382,247,323,286,376
"SAUSA300_RS03555",74,63,84,77,101,60,63,90,95,55,71,74
"SAUSA300_RS03560",151,187,142,154,195,152,69,225,226,127,144,168
"SAUSA300_RS03565",2445,2413,3067,2148,3101,2000,1826,3076,2579,1743,1960,2707
"SAUSA300_RS03570",555,664,518,384,620,355,437,606,472,421,508,492
"SAUSA300_RS03575",2698,2621,3747,2093,2541,1807,2230,3058,2368,1989,2431,3865
"SAUSA300_RS03580",936,804,1117,528,796,512,629,778,648,530,764,1080
"SAUSA300_RS03585",5228,5687,6496,4679,6461,4015,4787,6623,6170,4156,5153,5801
"SAUSA300_RS03590",7066,6817,7864,5032,6349,5031,4456,7085,5480,6434,6827,8978
"SAUSA300_RS03595",6257,6576,6822,6000,6509,4769,4702,6938,5540,5611,4857,6499
"SAUSA300_RS03600",3950,3883,4552,3585,4276,3059,2817,4368,3278,3841,2841,4559
"mgrA",20822,15972,20612,12846,17169,11671,13866,21827,14898,15471,14989,22966
"SAUSA300_RS03610",1929,1968,2094,1484,2150,1329,1552,2319,1753,1787,1630,2189
"SAUSA300_RS03615",5130,6060,4992,3535,5382,3246,3583,5958,4408,4741,5309,5372
"SAUSA300_RS03620",549,503,535,265,535,277,394,595,106,413,357,522
"SAUSA300_RS03625",8947,7891,9495,9245,10034,7633,9093,10606,9402,7434,7137,8874
"SAUSA300_RS03630",12268,12238,14413,10958,13250,10122,10570,14076,13096,9518,10200,13092
"SAUSA300_RS03635",565,499,541,656,979,530,761,964,678,632,544,685
"SAUSA300_RS03640",707,471,576,493,1035,585,595,1111,371,757,471,748
"SAUSA300_RS03645",932,995,1009,862,1364,854,852,1514,1005,1046,947,1080
"norA",7223,6969,7947,8975,11944,7238,7677,11137,7929,7276,6050,8146
"SAUSA300_RS03655",1405,1071,1057,808,1580,753,1126,1722,696,1229,1103,1178
"ybaK",673,589,741,596,703,535,448,766,757,536,645,728
"SAUSA300_RS03665",504,377,784,654,485,468,399,747,673,570,685,699
"pfkB",948,910,1439,1182,983,964,817,1269,1294,907,1402,1321
"SAUSA300_RS03675",6315,5392,8909,6716,6251,5494,5142,7546,6738,5712,7209,8086
"nagA",1784,2131,1896,1682,2028,1350,1422,1990,1393,1768,1966,2218
"SAUSA300_RS03690",14632,14557,17315,13639,19523,13232,11409,19686,15258,14960,12965,18618
"SAUSA300_RS03695",9900,10386,11547,12826,17744,12031,12652,19529,14676,8351,7694,10506
"csbB",14473,13607,18089,17434,25075,16522,17724,28171,20813,11754,10074,16263
"saeS",29294,33412,28405,11538,17744,11280,12094,19867,15017,25577,30466,31617
"saeR",21597,25927,21288,9451,13396,9158,10619,14299,12688,18944,25327,23652
"SAUSA300_RS03715",12448,14913,12386,5656,7814,5186,6784,7636,6387,11055,15368,12955
"SAUSA300_RS03720",7775,8900,8991,3436,5412,3555,3824,5796,6251,6617,9601,8656
"SAUSA300_RS03725",844,663,980,510,975,513,616,1185,354,753,578,961
"queE",1571,1676,2211,1882,2182,1825,1508,2390,2088,1178,1341,2076
"queD",506,513,754,579,665,518,505,838,672,431,424,641
"queC",125,139,116,88,126,104,78,133,116,104,121,144
"SAUSA300_RS03745",105,150,142,88,77,77,95,99,80,95,95,153
"SAUSA300_RS03750",621,707,630,322,495,329,352,559,461,615,670,700
"SAUSA300_RS03755",452,478,493,268,398,271,246,455,345,381,474,559
"SAUSA300_RS03760",216,183,255,96,137,78,121,171,84,177,148,259
"SAUSA300_RS03765",1815,2018,2028,1043,1234,1069,1000,1533,1173,1546,1893,2295
"SAUSA300_RS03770",2971,3075,3097,1769,2207,1732,1585,2497,2192,2553,2985,3665
"ltaS",121218,110491,142370,70326,83543,60858,57336,89732,74122,108766,103035,152602
"SAUSA300_RS03785",8231,8230,8654,7109,7985,6151,5908,7776,6860,7553,6878,9158
"recQ",13131,13735,13725,9747,11870,7844,8041,13079,11463,12543,11047,15455
"SAUSA300_RS03795",3409,3709,3918,5048,6912,4225,4440,6972,5569,2987,2821,3566
"SAUSA300_RS03800",7493,7103,9483,9752,13661,8738,8323,14138,10490,7774,5994,10339
"hisC",949,1079,1078,958,1374,796,1017,1513,1216,1073,910,1112
"SAUSA300_RS03810",802,731,681,696,917,492,688,1182,797,761,709,842
"SAUSA300_RS03815",9206,9278,13146,12678,17512,11666,12025,17306,13056,7223,7129,11961
"SAUSA300_RS03820",0,0,0,0,0,0,0,0,0,0,0,0
"SAUSA300_RS03825",2376,2592,2688,1584,2081,1404,1430,2437,1708,2248,2727,3190
"SAUSA300_RS15970",0,1,2,2,5,1,2,1,0,0,5,3
"queF",1487,1569,1625,973,1236,909,904,1430,1323,1385,1442,1955
"SAUSA300_RS03835",2088,1921,2223,1495,1880,1382,1391,2190,1686,1886,2048,2734
"nrdI",30990,38555,36163,30336,35091,25214,22772,36347,38269,31985,31438,41645
"nrdE",185446,181319,201845,151140,200223,131273,143232,212614,176878,198380,156653,249311
"nrdF",40555,40828,43569,28871,41131,24957,27044,44104,35114,41498,32971,53134
"SAUSA300_RS03860",0,0,0,0,0,0,0,0,0,0,0,0
"SAUSA300_RS03865",133,114,136,67,120,71,80,120,96,111,130,211
"SAUSA300_RS03870",87,68,90,38,88,39,43,88,46,59,83,122
"SAUSA300_RS03875",105,116,99,44,78,31,58,75,77,75,119,131
"SAUSA300_RS03880",527,467,562,391,524,311,245,523,496,421,439,570
"SAUSA300_RS03885",1548,1662,1685,1177,1659,1037,1245,1734,1524,1427,1499,1768
"SAUSA300_RS03890",3931,3590,4330,2951,3848,2633,2778,4220,3545,3377,3768,4368
"SAUSA300_RS03895",56,43,31,17,46,30,22,28,14,47,42,48
"SAUSA300_RS03900",1527,1640,1849,1127,1821,1051,915,1841,1628,1430,1321,1756
"ytxJ",3113,3513,3706,3798,5130,2926,2658,5414,4480,2939,2452,3209
"SAUSA300_RS03910",3174,3782,4503,3067,4015,3301,2276,4325,4353,2601,3289,4447
"pepT",9825,11419,11071,13431,17993,11178,11670,18704,14691,10521,9557,11159
"SAUSA300_RS03920",948,880,1116,785,1121,750,848,1257,972,908,832,1058
"SAUSA300_RS03925",512,506,450,451,577,367,455,617,433,420,541,563
"SAUSA300_RS03930",3876,3392,3983,3061,4494,2764,2734,4561,3066,3588,3243,4197
"SAUSA300_RS03935",1795,1673,1758,1299,1776,1246,1346,1997,1206,1710,1610,2015
"SAUSA300_RS03940",962,925,778,726,1215,612,864,1153,846,900,864,757
"fakB1",5191,5506,4962,2985,3712,2701,2631,4319,4417,4417,5483,5755
"SAUSA300_RS03950",445,447,466,385,419,339,334,426,531,369,354,480
"SAUSA300_RS03955",309,386,419,323,441,285,322,454,451,334,322,411
"raiA",16395,25473,32024,15184,17524,13617,9925,19709,28853,15744,17621,24351
"secA",29905,30033,32075,29117,37266,25628,27566,39131,31121,26987,28595,34581
"SAUSA300_RS03970",0,0,0,0,0,0,0,0,0,0,0,0
"prfB",1550,1954,1490,1980,2556,1848,1797,2891,2496,1610,1733,1680
"SAUSA300_RS03980",0,0,0,0,0,0,0,1,0,0,0,0
"SAUSA300_RS03985",93,121,83,104,174,93,125,161,107,105,99,77
"SAUSA300_RS03990",137,108,106,92,152,87,85,98,80,124,128,135
"SAUSA300_RS03995",39,40,59,36,41,21,19,52,38,38,30,30
"uvrB",11935,12697,16928,14143,17414,13876,11428,18047,19302,10484,11269,16127
"uvrA",35527,35242,48420,41467,52514,38753,36750,57523,52251,31632,31922,46793
"hprK",18816,22608,19522,16996,20553,15176,14347,23038,20643,16677,19070,19884
"lgt",9161,10382,9337,7306,9256,6790,6994,10431,7929,7716,9127,9529
"SAUSA300_RS04020",3438,3558,3587,2625,3512,2283,2420,3790,2989,3101,3289,3944
"SAUSA300_RS04025",6875,6581,7114,4817,6342,4234,4882,7095,5618,6069,5971,7437
"trxB",29737,30827,31245,23181,30188,21029,19493,30249,23315,25389,28332,31942
"rapZ",5359,6435,6363,5476,6493,5025,3924,7556,8620,4857,5291,6282
"SAUSA300_RS04045",56275,57417,77247,61929,72680,62844,46686,83516,78425,44193,48277,76655
"whiA",29467,33126,40763,30948,36050,30692,22790,42231,38839,25697,26824,43016
"clpP",7059,8354,8856,5047,8402,4696,4368,8681,7256,6191,6731,8435
"SAUSA300_RS04065",6874,6976,10172,8412,12157,8574,7667,12457,10215,5975,6028,9423
"SAUSA300_RS04070",562,842,712,794,871,644,414,999,1176,465,588,698
"SAUSA300_RS04075",22936,28357,29991,46676,58685,37694,38414,52711,41192,27612,24684,30081
"gap_1",60665,53261,84006,77162,103479,72939,66878,101778,84449,60842,51157,86280
"SAUSA300_RS04085",23993,22042,30722,31648,39647,29583,25885,41825,40295,23358,20815,33104
"tpiA",23777,23797,30252,32409,37401,29845,28176,40992,39066,23425,23016,32848
"gpmI",40687,38783,50810,54080,62776,49874,46354,68300,68325,39699,37328,54989
"eno",192643,163828,225431,208592,266509,196430,207933,273165,250863,181065,171693,220650
"SAUSA300_RS04105",7989,7440,8508,4083,5283,4217,4203,6358,3615,6508,6122,8989
"secG",982,1506,1292,662,841,637,451,940,1374,801,1176,1301
"SAUSA300_RS04115",3256,3581,3925,3598,4112,3261,2664,4719,4435,3122,3140,4318
"rnr",28824,30304,41015,32742,39264,31761,27047,44580,39713,25406,26107,42321
"smpB",4059,4272,5778,4313,5280,4188,3309,6097,5157,3676,3659,5853
"SAUSA300_RS04135",398,342,325,187,262,149,281,276,149,291,397,360
"SAUSA300_RS15975",14,14,11,3,14,5,10,19,14,15,5,11
"SAUSA300_RS04145",153,143,142,30,81,39,68,150,33,149,108,144
"SAUSA300_RS04150",0,0,1,2,0,1,0,0,0,2,3,3
"SAUSA300_RS04155",131,173,230,256,273,284,193,276,358,108,138,236
"SAUSA300_RS04160",421,535,593,612,703,660,360,724,772,391,472,677
"clfA",580172,543128,705458,1014020,1118157,782787,983936,1179708,998208,506376,393837,627477
"vwb",58,88,86,67,56,57,42,77,33,48,78,70
"emp",2548,2503,3053,904,1096,1008,927,1318,1414,1600,2462,2814
"SAUSA300_RS04180",11,25,9,6,7,9,2,10,12,13,9,19
"SAUSA300_RS04185",723,552,638,393,540,350,479,659,639,453,662,552
"SAUSA300_RS04190",5507,4377,5317,2325,3005,2066,2379,3317,3378,4253,5310,5101
"SAUSA300_RS04195",569,667,601,642,934,497,558,995,1028,511,527,691
"SAUSA300_RS04200",341,365,379,344,571,269,327,515,479,264,345,347
"SAUSA300_RS04205",222,236,231,179,199,116,119,246,164,173,204,258
"SAUSA300_RS04210",447,285,466,256,473,242,319,552,170,418,237,480
"SAUSA300_RS04215",576,651,700,500,643,352,549,739,422,433,467,699
"SAUSA300_RS04220",169,57,240,144,301,175,132,241,134,128,94,187
"SAUSA300_RS04225",4731,5286,6466,4003,5551,4451,4049,6839,4133,3280,3878,6084
"SAUSA300_RS04230",1297,1188,1214,539,650,557,442,776,787,852,1159,1268
"SAUSA300_RS04235",3464,3230,3097,2578,3728,2142,2563,4072,3096,3122,2792,3579
"SAUSA300_RS04240",5617,5871,6382,5951,8239,4676,5630,9110,5967,5596,4935,5894
"SAUSA300_RS04245",2501,2589,4396,3970,5494,4343,2731,5174,4370,1940,2529,4024
"aroD",432,371,458,275,485,259,268,513,305,394,426,489
"SAUSA300_RS04255",3269,3627,3132,2224,2903,1789,1965,3020,2564,3078,3181,3637
"SAUSA300_RS04260",1153,1405,1299,788,1175,769,726,1184,945,1096,1288,1414
"SAUSA300_RS04265",3287,4005,4104,2321,3374,2191,1717,3314,2481,3025,3164,4209
"gcvH",23717,27137,28090,29604,38341,27378,22929,37135,46558,23286,23735,25978
"SAUSA300_RS04280",2768,2584,3275,3404,3980,3329,2773,4232,4628,2303,2568,2983
"SAUSA300_RS04290",3297,3096,4070,5291,6633,4507,4254,7102,7159,2643,2668,3790
"SAUSA300_RS04295",1833,1575,2288,2464,3361,2229,2935,3799,2001,1591,1362,2000
"SAUSA300_RS04300",970,1016,947,772,892,620,617,1090,882,904,854,958
"SAUSA300_RS04305",776,758,754,624,786,539,611,905,586,866,652,788
"SAUSA300_RS04310",1157,1171,1205,959,1137,724,738,1320,893,1122,1093,1397
"SAUSA300_RS04315",415,521,561,290,403,265,253,517,397,481,453,618
"sek",1007,1269,1059,705,1159,502,654,1370,749,1097,976,1354
"seq",1134,1359,1223,822,1507,770,876,1605,848,1258,983,1579
"SAUSA300_RS04330",1573,1859,1601,1629,2366,1318,1603,2190,1656,1850,1559,2089
"SAUSA300_RS04335",1142,1270,1096,1064,1543,900,832,1505,1411,1174,982,1308
"SAUSA300_RS04340",6,18,24,11,9,6,5,17,25,4,5,13
"SAUSA300_RS04345",173,218,268,332,469,282,457,402,332,186,77,257
"SAUSA300_RS15215",72,82,95,83,158,104,99,169,146,70,41,101
"SAUSA300_RS04350",67,45,56,57,124,51,99,100,100,52,13,48
"SAUSA300_RS04355",88,107,131,114,222,138,162,248,171,59,44,92
"SAUSA300_RS04360",30,37,59,59,100,32,67,79,75,41,8,39
"SAUSA300_RS04365",1041,1163,1551,1407,2230,1204,1489,2092,2114,1044,616,1480
"SAUSA300_RS04370",170,180,220,249,276,157,226,271,320,144,98,201
"SAUSA300_RS04375",76,68,102,60,98,66,103,134,88,63,31,102
"SAUSA300_RS04380",2017,2252,2658,2296,3218,2016,2229,3359,3363,2069,1735,2759
"SAUSA300_RS04385",247,251,333,230,327,209,178,361,460,223,216,291
"SAUSA300_RS15225",0,0,0,0,0,0,0,0,0,1,0,0
"SAUSA300_RS15980",0,0,3,0,0,0,0,0,0,0,0,1
"SAUSA300_RS04390",587,658,520,319,518,326,385,419,417,476,464,506
"SAUSA300_RS04395",1073,952,889,177,200,214,199,277,207,513,837,791
"SAUSA300_RS04400",64193,104110,109199,72388,79910,62483,45321,105014,144984,50756,57968,74941
"SAUSA300_RS04405",3367,3006,3642,3177,3960,2774,3074,4387,3589,3152,3150,3794
"sufC",4821,5059,5449,3598,4757,3640,3213,5669,6518,3439,4072,5567
"sufD",20698,21112,27139,18939,24729,18270,17950,28668,23805,18406,19756,30399
"SAUSA300_RS04420",21385,22117,29075,20613,26505,18337,19408,31268,25637,20138,22744,35141
"SAUSA300_RS04425",3798,4289,5061,3428,4721,2918,3138,5826,5104,3695,4112,5861
"sufB",29781,30537,34616,31765,44136,26704,29250,47179,36556,30174,27581,39486
"SAUSA300_RS04435",2,0,0,0,0,0,0,0,0,0,0,0
"SAUSA300_RS04440",31,20,27,27,50,14,30,34,14,29,34,34
"SAUSA300_RS04445",2856,2969,3099,3909,5788,4215,3584,5769,4927,2088,2184,2739
"SAUSA300_RS04450",1898,2168,2020,2334,3785,2490,2055,3627,3287,1355,1467,1798
"SAUSA300_RS04455",0,0,0,0,0,0,0,2,0,0,0,0
"SAUSA300_RS04460",2424,2700,2598,1756,2609,1571,1428,2584,1833,1953,2443,2838
"SAUSA300_RS04465",2432,2521,2828,2145,2519,1838,1787,2539,1989,2344,2619,3231
"SAUSA300_RS04470",6627,7271,7520,5169,6909,4747,4288,7211,6463,6611,6600,8257
"lipA",20642,20563,22023,18467,26355,16311,15510,25987,23101,19853,19090,22639
"SAUSA300_RS04480",1092,836,1046,608,1088,641,548,1231,814,1065,736,1073
"SAUSA300_RS04485",157,155,141,151,220,128,121,181,104,168,146,169
"SAUSA300_RS04490",3799,5240,4587,2587,3957,2464,2464,4463,3755,3226,4012,4671
"SAUSA300_RS04495",7919,10027,9489,6000,8122,5315,5669,9240,8254,6832,8739,9980
"SAUSA300_RS04500",14751,17986,17066,12080,15585,10780,11238,17336,14715,13418,15413,17322
"SAUSA300_RS04505",0,0,0,0,0,0,0,0,0,0,0,0
"SAUSA300_RS04510",15,12,9,2,10,2,3,24,1,17,13,13
"dltA",20029,19343,15072,12128,20998,11459,15599,18220,13492,23046,16104,19449
"dltB",8758,7623,7117,4547,9075,4470,6527,8775,5118,9979,6040,9148
"dltC",2468,2449,1880,1375,2733,1283,1638,2605,1388,3191,1822,2571
"dltD",12267,12184,9839,7620,14561,7782,9985,13453,8914,14205,9233,12488
"SAUSA300_RS04535",1014,1232,972,1077,1499,943,965,1677,1344,824,1175,1035
"SAUSA300_RS04540",499,480,628,401,652,418,420,712,387,452,350,535
"SAUSA300_RS04545",11848,12465,13082,12137,16389,10687,11235,18168,15199,11520,11342,13431
"SAUSA300_RS04550",1213,1717,1415,1379,2049,1136,916,1867,1905,1235,1343,1357
"SAUSA300_RS04555",5122,4963,5803,5290,7171,4448,4112,7119,5352,5341,4930,5547
"SAUSA300_RS04560",36805,35842,53530,40275,47643,40002,34329,56960,53967,35000,33666,50776
"SAUSA300_RS04565",6758,7466,7601,4509,6784,4222,4199,7440,5743,6533,6849,8024
"SAUSA300_RS04570",2380,1988,2444,2103,2837,1816,2204,3390,2429,2286,1867,2649
"SAUSA300_RS04575",1912,2236,2190,1868,2471,1679,1607,3072,2316,2040,1990,2186
"SAUSA300_RS04580",147,199,159,108,169,102,147,187,147,152,152,183
"mnhG1",1766,1640,1828,1766,2421,1598,1768,2506,1850,1699,1446,2102
"mnhF1",1152,1249,1353,1324,1779,1136,1601,1697,1262,1239,1114,1447
"mnhE1",3091,3287,3237,3088,4051,2761,3028,4340,3637,3367,2725,3934
"mnhD1",14111,14770,15197,14867,19046,12963,13627,19213,15041,15064,12038,17062
"mnhC1",4997,5116,4939,5110,5558,4071,4285,6067,5528,4692,4585,5700
"mnhB1",2838,2729,2747,2881,3550,2228,2886,3493,2854,2867,2435,3351
"mnhA1",23739,23323,24321,23045,29160,19513,22298,30979,22615,24962,21583,28505
"SAUSA300_RS04620",1020,1043,1203,989,1216,793,872,1511,900,998,1082,1217
"SAUSA300_RS04625",4475,4644,5019,4474,6497,3836,4670,6069,5144,4505,4932,5925
"ygs",8528,9208,9904,7299,8916,6342,6465,9408,7002,6799,8368,8572
"SAUSA300_RS04635",1387,1565,1223,1346,1812,1123,1157,1734,1636,1295,1190,1350
"SAUSA300_RS04640",57489,58127,69402,77182,106798,68380,65790,100306,86168,61595,54585,63847
"SAUSA300_RS04645",130981,133136,155018,157158,214649,139200,141689,208954,177805,135531,124483,144448
"SAUSA300_RS04655",1042,1119,1118,1194,1590,1271,1340,2032,1712,919,1249,1355
"argH",13375,15463,27157,7762,12202,8245,7758,12006,12267,10910,11725,28774
"SAUSA300_RS04665",7820,8554,15453,3994,6291,4439,4073,6438,7209,6246,6642,16310
"SAUSA300_RS04670",20670,21021,22978,21326,28818,18214,19009,31020,25076,20657,19359,23595
"SAUSA300_RS04675",897,875,1032,726,1100,729,659,1189,573,959,800,1160
"lepB_1",2087,2251,2275,1928,2551,1553,1660,2500,1694,2183,2153,2629
"lepB_2",2234,2416,2642,1984,2781,1652,1695,2776,2067,2582,2161,3036
"addB",6790,7216,7499,5799,7606,5816,5464,8918,6865,6125,6788,8553
"addA",18758,18945,19408,16712,21418,14598,16076,24341,19363,17109,17481,21333
"SAUSA300_RS04700",69076,72089,71924,58678,75651,51973,50582,81699,70240,64281,66194,72578
"SAUSA300_RS04705",888,801,1207,925,1427,840,855,1405,904,786,782,1173
"SAUSA300_RS04710",16580,17406,17205,14978,19960,12208,13331,20360,16841,16987,16966,19053
"SAUSA300_RS04715",4042,4657,3718,3815,5639,3244,3580,5505,4316,3971,3792,4136
"SAUSA300_RS04720",6157,6811,6423,6566,9974,5689,6570,10244,7275,5997,6280,6759
"SAUSA300_RS04725",380,397,385,246,368,250,194,372,322,291,305,335
"clpB",8264,11815,12949,6635,9723,6380,4652,8695,8918,7941,6908,11691
"SAUSA300_RS04735",11,28,15,11,28,12,13,16,7,23,7,24
"SAUSA300_RS04740",11,14,14,14,19,7,9,23,17,5,6,9
"SAUSA300_RS04745",15,13,14,10,19,4,9,13,1,4,10,14
"SAUSA300_RS04750",27,27,19,12,38,9,28,29,8,19,13,25
"SAUSA300_RS04755",101,117,109,68,71,41,60,130,53,61,99,113
"SAUSA300_RS04760",6717,6195,8029,6467,8007,6428,5943,9520,6853,5116,4849,6667
"SAUSA300_RS04765",1257,1037,1573,737,1249,717,724,1469,866,1151,1121,1482
"SAUSA300_RS04770",3582,3555,3998,3237,3594,2804,2459,3718,3419,3792,3859,4736
"fabF",11822,13797,14917,10745,12272,9110,7915,13622,14244,11235,13845,14857
"SAUSA300_RS04780",104,98,117,85,102,68,54,107,58,109,122,108
"SAUSA300_RS04785",5264,4731,5701,2245,3177,2053,2584,3458,2446,4706,5083,6643
"SAUSA300_RS04790",11288,12330,13408,5884,7782,5165,6153,8581,6810,11049,12628,15786
"SAUSA300_RS04795",14448,16162,16922,8137,10245,6279,8010,11622,10077,14515,15800,19441
"SAUSA300_RS04800",12309,13838,14059,6992,8347,5320,7168,9638,8610,11967,12153,15543
"SAUSA300_RS04805",24791,24339,28633,12741,16630,10651,12773,18474,16823,21584,21206,30230
"SAUSA300_RS04810",65,61,81,46,80,51,45,87,73,52,69,75
"SAUSA300_RS04815",38,21,64,58,37,30,33,45,42,39,37,44
"SAUSA300_RS04820",44,33,31,47,53,36,31,52,62,35,34,50
"SAUSA300_RS04825",55,68,106,84,108,59,60,94,62,48,53,85
"SAUSA300_RS04830",147,164,151,136,190,95,105,190,173,113,134,158
"trpS",4146,4073,4614,3404,4853,3015,3387,5028,3873,3899,4674,5183
"spxA",257717,254352,261895,227012,319850,192653,218763,325169,171100,237009,195970,269102
"mecA_2",5908,5609,7035,5403,7984,4714,5082,8066,5619,5898,4634,7244
"SAUSA300_RS04850",58,69,60,60,57,55,51,66,35,67,51,88
"pepF_1",4426,4271,5010,2617,3754,2384,2689,3705,2859,3853,4270,5578
"yjbH",6175,5945,5691,5899,9347,5075,6273,8695,6384,5236,5354,5815
"SAUSA300_RS04865",2965,3006,2546,3006,4627,2475,2998,3946,3321,2684,2472,2556
"SAUSA300_RS04870",758,773,685,747,1079,637,791,1041,857,655,609,728
"SAUSA300_RS04875",584,643,576,397,546,371,440,542,500,480,580,551
"SAUSA300_RS04880",1604,1808,1719,1439,1791,1190,1184,1696,1551,1506,1629,1713
"SAUSA300_RS04885",6133,6314,6979,5278,6348,4448,4855,6716,6002,5401,6426,6484
"SAUSA300_RS04890",1002,931,998,963,1222,829,1026,1330,1006,902,851,1032
"mgtE",2841,2998,3075,3093,3738,2520,2686,4047,3429,2964,3118,3386
"SAUSA300_RS04900",6499,6210,6925,5549,7094,5021,5094,7819,5693,6448,5784,7567
"fabI",5542,5427,6139,4826,6300,4381,4383,6779,5716,4959,5608,6143
"cozEa",5014,4800,5116,3604,4823,3148,3548,5060,3797,4585,4956,5845
"SAUSA300_RS04915",1557,1680,1573,1081,1528,944,1224,1763,1221,1442,1685,1524
"SAUSA300_RS04920",495,614,522,574,758,440,469,840,599,460,455,603
"SAUSA300_RS04925",29433,34297,37470,30251,39123,28350,23219,44980,43661,28832,28619,35093
"SAUSA300_RS04930",2233,2018,2257,1902,3039,1754,2291,3180,2054,2305,2002,2391
"SAUSA300_RS04935",4226,4252,3966,4615,6610,3793,4866,6864,5068,3977,3643,4160
"SAUSA300_RS04940",4653,4822,4602,3427,3854,2849,3112,4245,3599,4029,5124,5606
"SAUSA300_RS04945",202,216,179,121,168,119,126,158,163,178,211,255
"SAUSA300_RS04950",7609,7002,7918,5329,6651,4721,4590,7299,6458,6779,7431,9317
"SAUSA300_RS04955",845,957,966,578,858,562,578,804,758,982,945,1164
"SAUSA300_RS04960",2236,2258,2607,1784,2052,1624,1505,2526,2096,2159,2335,3231
"SAUSA300_RS04965",6322,5778,6338,5110,6862,4343,4759,7596,5177,6601,6389,7896
"SAUSA300_RS04970",1921,2252,2002,2436,3186,1926,2098,3025,2219,2028,1800,1846
"SAUSA300_RS04985",482,345,416,225,267,219,163,260,226,255,309,422
"SAUSA300_RS04990",2095,3017,2648,1787,2423,1686,1275,2878,4094,1863,1741,2125
"SAUSA300_RS04995",754,804,854,432,679,504,366,698,627,693,715,899
"SAUSA300_RS05000",1058,1047,990,887,1197,719,914,1327,738,989,1135,1104
"SAUSA300_RS05005",3508,2583,3289,2052,3385,1847,2352,4017,1597,3311,2679,3665
"SAUSA300_RS15985",0,0,0,0,0,0,0,0,0,0,0,0
"SAUSA300_RS05015",0,0,0,0,0,0,0,0,0,0,0,0
"SAUSA300_RS15255",11,6,5,6,4,4,4,7,2,11,8,8
"SAUSA300_RS05020",164,146,234,159,225,113,169,255,140,142,115,170
"SAUSA300_RS05025",67,52,54,60,76,35,37,78,81,50,47,81
"SAUSA300_RS05030",98,95,115,71,116,79,70,118,112,88,77,131
"SAUSA300_RS15260",2510,2521,2727,1372,2352,1338,1791,2456,1609,2471,2182,3014
"SAUSA300_RS05040",74,29,44,4,10,7,5,10,2,38,44,32
"SAUSA300_RS05045",1520,1391,1089,196,340,229,249,367,206,719,1752,1273
"SAUSA300_RS05050",261,274,205,117,140,81,122,238,169,210,251,219
"SAUSA300_RS05055",235,236,245,87,145,109,95,174,110,129,319,180
"SAUSA300_RS05060",1,5,11,4,19,9,3,20,8,3,5,3
"SAUSA300_RS05065",29,36,26,14,30,24,33,81,26,20,15,30
"SAUSA300_RS05070",326,287,251,316,413,300,337,381,248,294,290,280
"SAUSA300_RS05075",3105,2958,3469,2189,2816,2118,1779,3278,2289,2862,3394,3833
"SAUSA300_RS15990",0,0,1,0,1,0,0,2,0,0,0,0
"SAUSA300_RS05080",1651,1764,1606,1222,1566,1084,1237,1716,1400,1433,1706,1837
"menD",7873,8036,8279,7006,8536,5949,6884,9721,8186,6977,7989,9765
"menH",4268,4176,4322,3505,4570,3005,3330,5391,4251,3806,4212,4866
"menB",29002,26044,33335,21106,27564,18907,20156,31656,29463,25216,27574,30785
