"gene_name","WT1","WT2","A1","A2"
"PA14_10970",1,0,3,3
"PA14_10980",5,6,41,22
"PA14_10990",3,2,2,5
"PA14_11000",6,3,49,29
"PA14_11010",1,0,14,8
"PA14_11020",0,0,0,2
"PA14_11030",0,1,5,4
"PA14_11050",4,2,5,4
"PA14_11060",22,23,61,58
"PA14_11070",1,3,4,7
"PA14_11080",7,2,4,12
"PA14_11090",0,0,3,5
"PA14_11100",6,9,28,25
"PA14_11110",2,1,6,5
"PA14_11120",50,49,93,115
"PA14_11130",3,4,15,14
"PA14_11140",31,30,59,60
"PA14_11150",0,0,1,3
"PA14_11160",0,0,1,1
"PA14_11170",12,8,26,30
"PA14_11180",2,1,15,21
"PA14_11190",0,1,10,15
"PA14_11210",7,8,2,15
"PA14_11230",0,0,1,7
"PA14_11240",10,5,20,27
"PA14_11250",29,26,237,242
"PA14_11260",63,45,171,196
"PA14_11270",4,1,16,13
"PA14_11280",2,1,7,3
"PA14_11290",6,4,19,26
"PA14_11310",2,0,11,4
"PA14_11320",0,0,11,13
"PA14_11330",9,11,14,23
"PA14_11340",2,3,14,12
"PA14_11350",3,2,9,8
"PA14_11370",0,0,3,0
"PA14_11380",25,8,76,109
"PA14_11400",75,56,132,119
"PA14_11410",3,2,54,53
"PA14_11420",62,36,346,323
"PA14_11430",44,24,268,257
"PA14_11450",40,41,252,258
"PA14_11460",20,10,87,82
"PA14_11470",31,10,101,84
"PA14_11480",37,19,195,238
"PA14_11490",9,8,57,54
"PA14_11510",16,15,91,116
"PA14_11520",13,9,55,47
"PA14_11530",26,21,188,137
"PA14_11550",2,5,35,66
"PA14_11560",2,1,7,7
"PA14_11570",0,0,2,0
"PA14_11580",17,5,13,21
"PA14_11590",3,1,12,11
"PA14_11600",37,20,125,149
"PA14_11610",10,18,26,37
"PA14_11620",1,0,18,26
"PA14_11630",6,3,36,30
"PA14_11650",10,0,31,38
"PA14_11660",0,0,5,5
"PA14_11670",0,0,7,5
"PA14_11680",61,36,276,296
"PA14_11690",10,10,94,102
"PA14_11700",3,0,12,8
"PA14_11720",3,1,22,24
"PA14_11730",2,2,8,7
"PA14_11740",1,1,9,5
"PA14_11750",1,2,11,13
"PA14_11760",0,3,14,5
"PA14_11770",1,1,12,21
"PA14_11790",12,9,35,51
"PA14_11810",2,3,12,9
"PA14_11830",57,47,104,136
"PA14_11845",30,22,222,236
"PA14_11860",21,21,92,101
"PA14_11880",1,3,7,8
"PA14_11890",2,5,13,9
"PA14_11900",0,1,7,13
"PA14_11910",0,0,10,3
"PA14_11920",12,5,82,70
"PA14_11930",20,6,61,94
"PA14_11940",27,19,83,75
"PA14_11960",4,4,34,36
"PA14_11970",1,0,15,7
"PA14_11980",13,9,55,39
"PA14_11990",2,1,19,9
"PA14_12010",58,41,971,925
"PA14_12020",65,46,525,434
"PA14_12030",237,146,4124,3876
"PA14_12050",30,15,264,283
"PA14_12060",50,43,259,200
"PA14_12070",85,82,262,299
"PA14_12080",88,51,283,288
"PA14_12090",150,100,335,279
"PA14_12100",1694,1039,2903,3108
"PA14_12110",40,43,140,138
"PA14_12120",114,63,239,238
"PA14_12130",131,111,557,528
"PA14_12140",1,2,9,10
"PA14_12150",0,0,1,4
"PA14_12160",9,10,13,20
"PA14_12200",2,1,5,2
"PA14_12210",0,1,0,0
"PA14_12230",4,3,12,10
"PA14_12260",48,54,35,42
"PA14_12270",7,8,53,57
"PA14_12280",4,5,35,27
"PA14_12300",3,4,34,29
"PA14_12310",3,5,2,7
"PA14_12330",7,6,15,20
"PA14_12350",2,4,37,22
"PA14_12360",4,1,125,97
"PA14_12370",3,0,70,68
"PA14_12390",9,3,59,38
"PA14_12400",3,3,9,7
"PA14_12410",2,2,14,23
"PA14_12420",195,133,703,781
"PA14_12440",25,25,83,87
"PA14_12450",64,75,75,60
"PA14_12470",10,2,9,11
"PA14_12490",122,86,136,145
"PA14_12530",4,0,12,10
"PA14_12540",16,8,70,51
"PA14_12550",6,3,23,23
"PA14_12560",0,1,13,4
"PA14_12570",0,0,16,28
"PA14_12610",2,3,3,9
"PA14_12620",1,1,15,12
"PA14_12630",43,32,151,153
"PA14_12640",4,4,9,14
"PA14_12650",2,3,10,10
"PA14_12670",10,6,61,49
"PA14_12680",13,9,38,46
"PA14_12690",5,4,6,6
"PA14_12700",7,6,22,16
"PA14_12710",1,4,12,19
"PA14_12730",0,2,5,4
"PA14_12740",566,367,636,749
"PA14_12750",30,29,76,89
"PA14_12760",45,25,115,156
"PA14_12770",10,4,45,37
"PA14_12780",4,3,17,30
"PA14_12810",18,17,68,79
"PA14_12820",24,20,71,53
"PA14_12840",35,27,74,74
"PA14_12850",20,10,74,48
"PA14_12860",33,17,39,46
"PA14_12870",24,18,90,78
"PA14_12890",12,3,39,24
"PA14_12900",0,3,8,13
"PA14_12910",0,0,1,1
"PA14_12920",0,4,7,6
"PA14_12940",7,2,7,8
"PA14_12960",4,5,18,18
"PA14_12970",3,3,16,15
"PA14_12980",64,43,101,85
"PA14_12990",27,16,48,63
"PA14_13000",0,1,11,3
"PA14_13010",0,0,6,5
"PA14_13030",42,33,28,47
"PA14_13040",116,72,167,168
"PA14_13050",3,0,10,7
"PA14_13060",0,0,9,3
"PA14_13070",1,3,9,12
"PA14_13090",2,2,10,11
"PA14_13110",16,17,22,34
"PA14_13130",65,39,51,64
"PA14_13140",81,48,56,49
"PA14_13150",54,32,118,105
"PA14_13170",4,1,11,10
"PA14_13190",614,439,325,321
"PA14_13200",48,24,111,86
"PA14_13210",0,3,4,3
"PA14_13220",1,1,4,1
"PA14_13230",17,21,57,100
"PA14_13240",2,4,12,11
"PA14_13250",12,18,52,62
"PA14_13260",26,15,76,92
"PA14_13280",27,30,55,43
"PA14_13290",19,17,61,76
"PA14_13300",29,28,64,106
"PA14_13320",8,3,12,23
"PA14_13330",18,8,67,56
"PA14_13340",14,9,21,15
"PA14_13350",0,2,13,12
"PA14_13370",0,0,3,5
"PA14_13380",0,0,1,8
"PA14_13410",4,5,14,18
"PA14_13420",45,34,224,270
"PA14_13430",31,30,148,174
"PA14_13450",0,1,6,10
"PA14_13460",0,0,10,12
"PA14_13470",0,0,9,7
"PA14_13490",8,1,16,13
"PA14_13500",12,4,8,15
"PA14_13510",2,4,6,18
"PA14_13520",3,2,76,79
"PA14_13530",5,8,45,27
"PA14_13560",4,3,146,113
"PA14_13580",4,4,13,32
"PA14_13590",7,4,23,14
"PA14_13600",9,7,10,28
"PA14_13610",1,1,10,11
"PA14_13620",19,13,278,302
"PA14_13630",0,0,4,4
"PA14_13650",0,0,5,20
"PA14_13660",3,2,1,2
"PA14_13670",1,1,3,3
"PA14_13680",10,8,18,41
"PA14_13690",0,1,2,6
"PA14_13710",0,0,0,2
"PA14_13720",0,0,2,1
"PA14_13740",2,0,17,15
"PA14_13750",141,145,1486,1773
"PA14_13770",33,30,86,87
"PA14_13780",199,172,138,96
"PA14_13800",81,71,63,61
"PA14_13810",10,13,5,9
"PA14_13830",18,12,14,21
"PA14_13840",32,24,13,27
"PA14_13850",38,26,28,18
"PA14_13870",19,14,74,73
"PA14_13890",6,10,31,34
"PA14_13900",18,9,74,89
"PA14_13990",53,49,262,210
"PA14_14000",12,4,50,54
"PA14_14010",1,7,7,18
"PA14_14020",4,4,29,40
"PA14_14040",1,1,19,8
"PA14_14060",37,23,37,25
"PA14_14080",0,1,9,8
"PA14_14100",75,67,63,74
"PA14_14110",75,68,167,222
"PA14_14130",13,9,25,14
"PA14_14140",26,25,120,134
"PA14_14150",4,5,34,41
"PA14_14160",24,20,115,107
"PA14_14170",70,32,87,98
"PA14_14200",9,12,14,20
"PA14_14210",28,21,241,174
"PA14_14220",20,6,90,111
"PA14_14230",5,1,19,22
"PA14_14250",6,1,7,2
"PA14_14270",41,23,69,69
"PA14_14280",2,4,8,15
"PA14_14290",11,14,61,68
"PA14_14300",7,2,5,15
"PA14_14320",1,0,23,14
"PA14_14330",3,0,9,4
"PA14_14340",3,0,12,8
"PA14_14360",4,4,20,18
"PA14_14370",3,2,8,5
"PA14_14380",3,1,13,20
"PA14_14390",1,6,11,10
"PA14_14420",2,2,9,15
"PA14_14430",8,7,33,37
"PA14_14440",30,19,83,93
"PA14_14450",2,4,6,14
"PA14_14460",1,3,1,9
"PA14_14470",1,0,18,21
"PA14_14480",6,4,14,15
"PA14_14490",10,10,53,34
"PA14_14500",105,56,627,680
"PA14_14510",85,68,604,618
"PA14_14520",7,5,46,75
"PA14_14530",32,10,98,95
"PA14_14570",0,0,1,1
"PA14_14590",9,18,249,200
"PA14_14600",60,38,860,727
"PA14_14610",94,65,1826,1840
"PA14_14630",123,112,1190,1263
"PA14_14650",199,128,1268,1224
"PA14_14660",107,92,647,728
"PA14_14680",9,6,85,93
"PA14_14690",39,23,272,315
"PA14_14700",169,86,655,680
"PA14_14710",39,22,167,142
"PA14_14730",144,110,990,1014
"PA14_14740",257,171,780,699
"PA14_14750",72,48,316,301
"PA14_14770",47,22,206,191
"PA14_14780",274,214,839,940
"PA14_14800",94,47,287,215
"PA14_14810",44,35,238,200
"PA14_14820",378,220,3095,3120
"PA14_14830",235,164,1354,1484
"PA14_14850",94,57,467,475
"PA14_14860",74,55,241,243
"PA14_14880",194,132,415,388
"PA14_14890",261,191,880,864
"PA14_14900",667,410,1194,1439
"PA14_14910",371,306,1291,1480
"PA14_14930",164,134,678,605
"PA14_14940",38,43,121,141
"PA14_14960",67,43,85,117
"PA14_14975",90,52,151,197
"PA14_14990",2,5,13,11
"PA14_15000",5,5,52,34
"PA14_15020",48,35,152,165
"PA14_15030",16,18,51,62
"PA14_15050",40,30,40,22
"PA14_15070",953,701,216,220
"PA14_15080",216,173,101,108
"PA14_15090",21,16,7,12
"PA14_15100",12,7,26,22
"PA14_15110",48,25,154,154
"PA14_15120",26,37,69,95
"PA14_15130",65,45,34,55
"PA14_15140",51,39,54,58
"PA14_15150",5,1,14,17
"PA14_15160",3,2,15,11
"PA14_15180",7,9,30,36
"PA14_15190",0,0,8,11
"PA14_15200",4,8,20,33
"PA14_15210",6,2,5,10
"PA14_15230",0,0,4,2
"PA14_15240",0,0,8,6
"PA14_15250",0,2,0,1
"PA14_15260",0,0,4,0
"PA14_15270",0,1,1,1
"PA14_15280",3,1,6,11
"PA14_15290",0,0,12,6
"PA14_15310",167,131,1973,1924
"PA14_15340",913,623,3071,3133
"PA14_15350",508,367,2859,2906
"PA14_15360",33,18,462,464
"PA14_15380",6,1,45,63
"PA14_15400",37,11,68,77
"PA14_15410",0,0,1,0
"PA14_15420",0,1,9,2
"PA14_15430",11,8,40,52
"PA14_15435",3,7,26,29
"PA14_15450",0,0,1,1
"PA14_15460",9,3,30,15
"PA14_15470",6,5,19,32
"PA14_15475",33,24,129,143
"PA14_15480",165,149,740,789
"PA14_15500",9,9,80,89
"PA14_15510",10,15,33,60
"PA14_15520",11,6,48,31
"PA14_15530",19,18,67,80
"PA14_15540",31,39,217,272
"PA14_15560",0,0,6,2
"PA14_15570",202,129,565,669
"PA14_15580",1138,791,2607,2444
"PA14_15590",808,541,1500,1420
"PA14_15600",270,215,489,475
"PA14_15610",409,326,625,639
"PA14_15620",0,0,6,6
"PA14_15650",3,1,11,32
"PA14_15660",22,18,42,58
"PA14_15670",35,26,318,335
"PA14_15680",35,32,125,124
"PA14_15700",7,5,103,119
"PA14_15710",2,2,17,16
"PA14_15720",3,5,33,26
"PA14_15740",354,223,1334,1341
"PA14_15770",136,88,535,628
"PA14_15780",6,4,45,36
"PA14_15790",5,3,15,19
"PA14_15810",1,2,8,1
"PA14_15820",1,1,2,4
"PA14_15830",2,2,6,7
"PA14_15840",3,3,15,10
"PA14_15850",8,5,16,14
"PA14_15860",87,51,217,198
"PA14_15870",68,41,131,145
"PA14_15880",15,10,12,18
"PA14_15890",26,30,181,194
"PA14_15910",5,4,8,15
"PA14_15920",7,13,36,54
"PA14_15930",3,5,29,16
"PA14_15940",10,10,28,29
"PA14_15960",194,106,697,750
"PA14_15970",593,356,4168,3085
"PA14_15980",206,135,1516,1405
"PA14_15990",121,95,2027,1928
"PA14_16000",358,269,3132,2866
"PA14_16010",7,1,95,71
"PA14_16020",3,2,94,77
"PA14_16030",31,27,94,103
"PA14_16040",38,19,79,103
"PA14_16050",98,96,382,370
"PA14_16070",159,96,496,412
"PA14_16090",95,76,292,287
"PA14_16100",28,16,57,38
"PA14_16110",19,13,52,62
"PA14_16130",7,10,34,31
"PA14_16140",99,101,486,656
"PA14_16150",87,46,605,499
"PA14_16160",51,27,273,292
"PA14_16180",289,217,647,720
"PA14_16190",349,216,501,505
"PA14_16200",42,22,51,41
"PA14_16210",4,4,30,37
"PA14_16220",35,19,116,107
"PA14_16250",1837,1126,485,439
"PA14_16260",70,51,35,16
"PA14_16270",25,17,236,236
"PA14_16280",11,4,90,76
"PA14_16290",19,8,103,96
"PA14_16300",2,2,23,18
"PA14_16310",1,0,6,2
"PA14_16320",2,2,5,0
"PA14_16330",55,51,303,335
"PA14_16340",1,1,18,20
"PA14_16350",1,1,17,12
"PA14_16360",12,15,51,86
"PA14_16370",59,36,52,113
"PA14_16380",8,12,20,13
"PA14_16390",13,17,33,28
"PA14_16410",3,8,2,16
"PA14_16430",108,89,434,486
"PA14_16440",23,15,40,52
"PA14_16450",65,54,163,166
"PA14_16460",23,13,81,69
"PA14_16470",51,59,120,127
"PA14_16480",108,81,190,229
"PA14_16500",174,99,321,309
"PA14_16510",200,121,1694,1576
"PA14_16530",324,208,1199,1088
"PA14_16550",73,57,312,302
"PA14_16560",58,54,205,240
"PA14_16580",99,81,272,257
"PA14_16590",57,23,79,65
"PA14_16600",12,11,19,20
"PA14_16610",51,38,58,79
"PA14_16620",8,4,22,18
"PA14_16630",4,1,16,22
"PA14_16640",0,0,4,2
"PA14_16660",0,2,15,18
"PA14_16670",8,14,45,53
"PA14_16680",9,6,50,26
"PA14_16690",106,91,127,110
"PA14_16700",131,76,1181,1129
"PA14_16710",21,14,158,182
"PA14_16720",6,3,85,66
"PA14_16730",25,17,144,125
"PA14_16740",9,4,37,37
"PA14_16750",3,0,6,10
"PA14_16770",7,7,36,46
"PA14_16780",14,17,36,65
"PA14_16790",0,0,4,10
"PA14_16800",54,26,94,80
"PA14_16820",409,305,711,755
"PA14_16830",34,23,33,41
"PA14_16840",7,5,39,34
"PA14_16860",28,11,69,69
"PA14_16870",11,8,65,67
"PA14_16880",7,4,29,10
"PA14_16890",23,22,89,49
"PA14_16910",27,17,68,68
"PA14_16920",0,0,7,5
"PA14_16930",13,13,26,52
"PA14_16950",2,2,16,19
"PA14_16960",0,0,0,1
"PA14_16970",2,1,4,1
"PA14_16980",4,3,30,22
"PA14_16990",2,1,17,10
"PA14_17000",3,1,2,10
"PA14_17010",48,47,295,336
"PA14_17030",4,11,37,36
"PA14_17040",32,21,142,145
"PA14_17050",6,4,39,23
"PA14_17060",361,270,4859,4669
"PA14_17070",675,483,3361,3344
"PA14_17080",199,152,882,926
"PA14_17100",582,368,1869,1883
"PA14_17110",134,115,1060,1047
"PA14_17120",32,18,197,199
"PA14_17130",72,33,283,309
"PA14_17140",221,148,888,931
"PA14_17150",425,299,1467,1376
"PA14_17170",562,426,3844,3978
"PA14_17180",249,191,1281,1320
"PA14_17190",171,115,793,966
"PA14_17210",113,70,484,478
"PA14_17220",52,47,283,263
"PA14_17230",59,41,237,188
"PA14_17250",65,59,1917,1857
"PA14_17260",437,320,1832,1816
"PA14_17270",542,349,4467,4409
"PA14_17280",16,15,92,83
"PA14_17290",202,119,1620,1498
"PA14_17310",73,67,360,316
"PA14_17320",237,242,663,642
"PA14_17330",37,39,99,147
"PA14_17340",16,24,83,80
"PA14_17350",1,0,8,6
"PA14_17370",1,0,23,22
"PA14_17380",1,2,13,9
"PA14_17400",178,121,365,399
"PA14_17410",65,43,105,115
"PA14_17420",12,11,48,58
"PA14_17440",32,23,154,122
"PA14_17450",125,74,327,369
"PA14_17460",58,46,174,187
"PA14_17470",629,435,1747,1999
"PA14_17480",1786,1048,1435,1580
"PA14_17490",5,4,8,20
"PA14_17500",14,15,94,96
"PA14_17510",7,1,36,37
"PA14_17520",35,17,101,117
"PA14_17530",136,70,448,402
"PA14_17540",16,20,70,54
"PA14_17550",46,24,172,154
"PA14_17570",1,0,22,23
"PA14_17580",379,262,853,837
"PA14_17590",40,17,50,46
"PA14_17600",35,21,71,70
"PA14_17610",5,3,30,36
"PA14_17620",2,3,1,13
"PA14_17630",4,6,34,33
"PA14_17640",2,5,7,3
"PA14_17650",3,1,62,55
"PA14_17660",13,15,76,74
"PA14_17670",32,24,362,466
"PA14_17675",23,15,64,43
"PA14_17690",24,18,83,75
"PA14_17700",8,5,10,20
"PA14_17710",4,4,7,5
"PA14_17720",2,5,6,5
"PA14_17730",10,10,38,69
"PA14_17740",3,4,7,8
"PA14_17760",1,0,16,14
"PA14_17780",0,1,3,10
"PA14_17790",3,3,13,19
"PA14_17810",2,5,27,21
"PA14_17820",5,2,9,11
"PA14_17850",0,0,8,6
"PA14_17860",3,1,7,6
"PA14_17880",0,4,4,1
"PA14_17890",4,2,15,25
"PA14_17900",2,0,6,3
"PA14_17910",1,2,7,11
"PA14_17920",0,0,3,8
"PA14_17930",5,7,43,45
"PA14_17940",2,3,7,20
"PA14_17960",1,1,6,3
"PA14_17980",0,0,3,2
"PA14_17990",2,0,9,5
"PA14_18010",37,18,88,109
"PA14_18020",26,29,49,53
"PA14_18050",3,3,12,13
"PA14_18060",0,0,20,22
"PA14_18070",8,1,7,11
"PA14_18080",13,6,28,28
"PA14_18090",4,2,108,94
"PA14_18100",1,0,5,8
"PA14_18110",4,3,28,24
"PA14_18120",22,39,29,35
"PA14_18140",3,0,13,20
"PA14_18150",11,1,25,40
"PA14_18160",1,4,14,22
"PA14_18180",0,0,11,11
"PA14_18200",4,4,16,20
"PA14_18210",1,1,4,13
"PA14_18230",2,2,32,16
"PA14_18250",300,225,1043,1107
"PA14_18260",146,100,369,371
"PA14_18275",162,109,450,477
"PA14_18300",22,28,98,88
"PA14_18310",2,0,9,5
"PA14_18320",1,0,5,6
"PA14_18330",2,0,10,8
"PA14_18340",9,5,14,5
"PA14_18350",5,1,16,20
"PA14_18360",7,0,12,11
"PA14_18370",0,0,6,12
"PA14_18380",7,2,17,27
"PA14_18410",0,0,1,0
"PA14_18430",1,0,2,2
"PA14_18450",7,5,42,46
"PA14_18470",0,0,3,4
"PA14_18480",3,1,10,11
"PA14_18500",30,29,131,139
"PA14_18510",7,2,25,19
"PA14_18520",1,1,12,11
"PA14_18550",4,3,10,13
"PA14_18565",6,9,29,26
"PA14_18580",7,2,17,29
"PA14_18590",3,1,13,11
"PA14_18600",1,2,7,6
"PA14_18610",1,4,15,24
"PA14_18620",8,11,26,35
"PA14_18630",9,9,58,50
"PA14_18640",23,10,35,42
"PA14_18650",264,184,510,502
"PA14_18660",19,11,20,22
"PA14_18670",14,7,61,55
"PA14_18680",14,18,54,66
"PA14_18690",1976,1337,2877,3639
"PA14_18700",0,6,19,26
"PA14_18710",1,4,14,19
"PA14_18720",33,28,89,75
"PA14_18740",193,147,1041,1064
"PA14_18750",1,4,12,12
"PA14_18760",2,1,11,8
"PA14_18780",4,2,15,26
"PA14_18790",3,4,1,12
"PA14_18800",6,5,12,14
"PA14_18810",1,2,6,4
"PA14_18820",5,5,15,16
"PA14_18830",1,1,6,8
"PA14_18850",7,2,14,12
"PA14_18860",13,12,44,49
"PA14_18870",2,0,3,0
"PA14_18880",22,5,46,56
"PA14_18890",2,1,7,16
"PA14_18900",0,0,2,1
"PA14_18910",0,0,1,5
"PA14_18920",1,0,3,10
"PA14_18930",0,0,2,3
"PA14_18950",4,3,7,6
"PA14_18960",2,4,18,21
"PA14_18970",29,20,114,96
"PA14_18985",1,5,29,28
"PA14_19010",0,0,2,0
"PA14_19020",1,2,4,16
"PA14_19030",0,0,1,2
"PA14_19050",3,8,30,39
"PA14_19065",141,88,317,317
"PA14_19090",59,40,488,464
"PA14_19100",212,180,92,127
"PA14_19110",88,88,32,32
"PA14_19120",1121,737,2999,3309
"PA14_19130",442,276,806,764
"PA14_19140",52,26,132,133
"PA14_19150",1,2,59,72
"PA14_19160",3,4,47,54
"PA14_19170",5,2,31,24
"PA14_19190",289,218,338,311
"PA14_19205",9,9,18,15
"PA14_19210",0,1,7,9
"PA14_19230",9,5,17,22
"PA14_19270",1,1,13,14
"PA14_19290",78,39,239,248
"PA14_19310",9,10,54,50
"PA14_19320",11,12,42,68
"PA14_19330",6,0,7,5
"PA14_19340",0,0,18,32
"PA14_19350",9,6,11,6
"PA14_19360",33,16,27,31
"PA14_19370",65,51,194,275
"PA14_19380",133,98,323,421
"PA14_19390",6,7,33,43
"PA14_19400",2,2,2,1
"PA14_19410",218,137,301,281
"PA14_19430",20,12,21,20
"PA14_19450",8,7,31,24
"PA14_19470",1,2,13,6
"PA14_19480",9,5,7,9
"PA14_19490",294,161,77,81
"PA14_19500",9,4,4,0
"PA14_19510",13,13,35,47
"PA14_19520",3,2,5,3
"PA14_19530",12,6,12,16
"PA14_19540",9,4,12,9
"PA14_19560",13,2,4,4
"PA14_19570",5,6,6,4
"PA14_19580",6,1,10,8
"PA14_19590",10,11,5,8
"PA14_19600",0,0,0,1
"PA14_19610",2,1,1,6
"PA14_19620",0,0,4,2
"PA14_19630",21,8,195,204
"PA14_19640",2,1,13,18
"PA14_19650",6,1,37,30
"PA14_19660",74,58,282,350
"PA14_19670",2,1,65,75
"PA14_19680",32,29,69,99
"PA14_19690",48,45,121,183
"PA14_19700",17,14,51,52
"PA14_19710",5,6,10,12
"PA14_19720",2,1,2,5
"PA14_19730",23,14,67,57
"PA14_19740",22,10,24,32
"PA14_19750",1,0,1,4
"PA14_19770",3,3,4,12
"PA14_19800",0,3,11,9
"PA14_19810",7,5,30,18
"PA14_19830",11,6,19,24
"PA14_19850",10,12,15,31
"PA14_19870",6,16,5,25
"PA14_19900",9,5,9,11
"PA14_19910",7,3,4,4
"PA14_19920",1,0,2,4
"PA14_19930",0,0,1,3
"PA14_19940",0,1,0,0
"PA14_19950",1,0,1,0
"PA14_19960",0,3,1,1
"PA14_19970",0,0,7,9
"PA14_19990",1,2,62,53
"PA14_20000",1,4,12,15
"PA14_20010",2,3,19,17
"PA14_20020",0,1,11,9
"PA14_20030",11,6,10,12
"PA14_20040",2,4,4,4
"PA14_20050",3,4,16,10
"PA14_20060",4,0,3,1
"PA14_20070",1,2,11,9
"PA14_20080",5,5,21,39
"PA14_20100",2,3,16,16
"PA14_20110",17,10,32,36
"PA14_20120",2,4,20,25
"PA14_20130",1,2,13,16
"PA14_20140",175,134,744,643
"PA14_20150",2,0,27,33
"PA14_20170",1,3,4,12
"PA14_20180",0,0,5,6
"PA14_20190",6,8,15,19
"PA14_20200",2,1,18,19
"PA14_20230",2,4,11,15
"PA14_20240",0,1,12,8
"PA14_20250",3,1,13,14
"PA14_20260",2,2,5,3
"PA14_20270",0,1,11,4
"PA14_20280",0,1,3,6
"PA14_20290",0,0,3,3
"PA14_20300",3,1,8,9
"PA14_20320",5,5,4,10
"PA14_20330",3,0,3,9
"PA14_20350",13,10,40,51
"PA14_20360",1,0,0,0
"PA14_20370",2,4,4,4
"PA14_20380",3,4,11,9
"PA14_20390",2,1,14,7
"PA14_20400",0,1,5,6
"PA14_20420",2,1,3,7
"PA14_20430",2,3,12,11
"PA14_20440",7,10,39,24
"PA14_20450",1,4,11,27
"PA14_20460",3,1,6,7
"PA14_20480",0,1,4,0
"PA14_20491",0,0,5,3
"PA14_20500",6,4,21,22
"PA14_20520",280,184,610,721
"PA14_20530",217,151,436,443
"PA14_20550",0,0,2,3
"PA14_20560",51,28,256,253
"PA14_20570",8,8,33,35
"PA14_20580",9,5,36,33
"PA14_20590",40,22,62,66
"PA14_20600",23,16,116,119
"PA14_20610",3,1,26,30
"PA14_20620",7,5,16,31
"PA14_20630",2,1,31,25
"PA14_20640",2,1,9,7
"PA14_20650",13,4,26,21
"PA14_20670",113,72,266,270
"PA14_20680",58,34,67,75
"PA14_20690",16,19,51,40
"PA14_20700",8,4,15,32
"PA14_20720",0,0,7,0
"PA14_20730",4,2,7,6
"PA14_20740",21,16,42,44
"PA14_20750",834,612,1473,1628
"PA14_20760",187,160,496,545
"PA14_20770",25,16,119,115
"PA14_20780",161,119,338,274
"PA14_20800",12,10,74,60
"PA14_20810",81,57,338,311
"PA14_20820",60,35,158,166
"PA14_20840",27,10,30,24
"PA14_20850",130,66,1225,1337
"PA14_20860",27,35,157,148
"PA14_20870",17,7,65,95
"PA14_20880",1,2,15,6
"PA14_20890",365,289,1607,1688
"PA14_20900",32,31,223,226
"PA14_20920",0,0,5,10
"PA14_20950",3,1,1,2
"PA14_20970",6,6,12,10
"PA14_20980",0,0,5,2
"PA14_21000",0,0,1,7
"PA14_21010",3,0,9,9
"PA14_21020",7,2,52,35
"PA14_21030",455,326,251,238
"PA14_21040",8,7,17,14
"PA14_21050",3,3,6,8
"PA14_21060",0,1,2,0
"PA14_21070",15,7,129,114
"PA14_21080",0,3,20,18
"PA14_21090",2,0,12,21
"PA14_21110",0,5,16,19
"PA14_21120",0,0,2,2
"PA14_21140",0,3,5,3
"PA14_21150",0,1,4,2
"PA14_21160",0,0,3,8
"PA14_21175",2,0,9,20
"PA14_21180",3,6,62,55
"PA14_21190",4,1,17,20
"PA14_21210",14,8,24,42
"PA14_21220",0,0,7,12
"PA14_21230",2,3,17,16
"PA14_21240",22,13,37,53
"PA14_21250",7,10,41,49
"PA14_21280",25,9,189,195
"PA14_21290",6,11,49,58
"PA14_21300",1,1,11,18
"PA14_21310",0,0,3,3
"PA14_21320",0,0,8,8
"PA14_21340",131,97,258,278
"PA14_21370",267,183,628,551
"PA14_21380",3,0,1,0
"PA14_21400",118,141,370,371
"PA14_21410",3,0,6,15
"PA14_21440",44,24,218,221
"PA14_21450",18,30,45,72
"PA14_21460",0,2,4,0
"PA14_21480",34,24,37,47
"PA14_21510",6,3,6,7
"PA14_21520",7,3,22,41
"PA14_21530",1,2,19,11
"PA14_21540",97,92,973,1078
"PA14_21550",23,19,171,168
"PA14_21560",12,13,54,37
"PA14_21570",13,1,11,16
"PA14_21580",23,13,38,46
"PA14_21590",5,5,6,17
"PA14_21600",2,3,28,21
"PA14_21610",8,13,97,71
"PA14_21620",8,16,44,50
"PA14_21630",217,182,810,979
"PA14_21640",50,44,562,628
"PA14_21650",6,5,93,100
"PA14_21660",0,2,27,26
"PA14_21670",3,4,70,39
"PA14_21690",99,70,81,82
"PA14_21700",43,34,85,67
"PA14_21710",11,5,75,92
"PA14_21720",28,18,113,98
"PA14_21730",5,3,89,90
"PA14_21750",54,25,256,231
"PA14_21760",3,1,40,26
"PA14_21770",1,2,22,10
"PA14_21780",2,4,13,21
"PA14_21790",0,1,14,4
"PA14_21800",326,462,704,1022
"PA14_21810",317,492,654,1163
"PA14_21820",178,118,1118,1176
"PA14_21830",21,7,114,102
"PA14_21840",56,31,74,73
"PA14_21850",58,57,205,220
"PA14_21860",4,2,9,8
"PA14_21870",23,18,88,95
"PA14_21880",0,4,16,17
"PA14_21890",52,51,146,182
"PA14_21900",21,12,59,51
"PA14_21910",3,3,31,29
"PA14_21920",1,4,7,15
"PA14_21930",3,4,25,27
"PA14_21940",11,10,24,40
"PA14_21960",13,7,20,43
"PA14_21970",0,0,6,4
"PA14_21980",5,6,21,19
"PA14_21990",6,4,26,27
"PA14_22000",2,2,9,19
"PA14_22010",0,1,7,15
"PA14_22020",0,0,6,11
"PA14_22040",1,1,6,11
"PA14_22050",17,9,81,71
"PA14_22060",23,22,68,42
"PA14_22075",8,5,20,24
"PA14_22080",71,43,308,292
"PA14_22090",110,68,390,409
"PA14_22110",24,17,136,140
