"Id","Untreated-Rep1","Untreated-Rep2","Treated-Rep1","Treated-Rep2"
"PA0796",3310,3583,2874,3748
"PA0797",1465,1434,1143,1559
"PA0798",504,587,612,1051
"PA0799",3245,3748,4961,6790
"PA0800",712,717,571,877
"PA0801",1832,1862,1874,2803
"PA0802",801,773,688,1024
"PA0803",822,991,747,1087
"PA0804",1120,1119,1030,1457
"PA0805",6850,6122,7191,8399
"PA0806",422,494,364,541
"PA0807",1399,1602,1631,1911
"PA0808",611,718,453,627
"PA0809",667,854,838,1401
"PA0810",678,899,846,1166
"PA0811",760,964,922,1504
"PA0812",1189,1330,848,1357
"PA0813",352,536,844,1262
"PA0814",73,109,150,252
"PA0815",1055,1362,1686,2325
"PA0816",439,648,937,1385
"PA0817",406,633,574,807
"PA0818",421,552,334,498
"PA0819",592,323,214,244
"PA0820",1935,1173,815,1098
"PA0821",3041,2398,1657,2049
"PA0823",498,460,276,433
"PA0824",692,874,448,779
"PA0825",311,331,114,179
"PA0826",982,538,375,492
"PA0826.2",286066,234494,530748,527853
"PA0827",1327,1466,1038,1541
"PA0828",440,470,508,925
"PA0829",852,1056,682,872
"PA0830",1129,1183,1890,2520
"PA0831",3805,5062,4318,5558
"PA0832",1737,2083,1997,2442
"PA0833",22100,22063,24807,30508
"PA0834",1881,2020,2986,3327
"PA0835",7712,8676,20779,22022
"PA0836",6924,8111,17682,21347
"PA0836.1",1925,2097,3494,4370
"PA0837",7958,7499,7707,7664
"PA0838",3258,3386,3226,3646
"PA0839",583,699,870,1245
"PA0840",1223,1492,1827,2330
"PA0841",1010,1220,1033,1618
"PA0842",531,746,587,1054
"PA0843",888,900,476,752
"PA0844",1934,2149,1235,1750
"PA0845",1944,1890,1042,1627
"PA0846",2094,1904,1881,2362
"PA0847",2785,2950,1871,2800
"PA0848",1268,1144,748,938
"PA0849",1163,1460,1084,1393
"PA0850",343,385,464,615
"PA0851",681,891,1149,1540
"PA0852",1164,1722,1037,1538
"PA0853",1547,1732,1753,2225
"PA0854",8372,9440,8011,10160
"PA0855",1153,1246,954,1601
"PA0856",16310,17104,13109,16620
"PA0857",6668,5792,5835,6512
"PA0858",6782,5997,7418,8570
"PA0859",925,1030,1570,2692
"PA0860",3262,3073,3673,5004
"PA0861",3468,4479,4189,5058
"PA0862",2006,2457,2626,3266
"PA0863",698,954,814,1203
"PA0864",506,694,586,1006
"PA0865",4876,6492,3041,3766
"PA0866",1372,1419,697,1089
"PA0867",1612,1520,1355,1399
"PA0868",636,819,1027,1261
"PA0869",4477,4488,4605,5624
"PA0870",3077,2881,5526,6689
"PA0871",1929,1956,3205,3804
"PA0872",6139,6837,9632,11943
"PA0873",1874,2163,2022,2636
"PA0874",510,561,512,569
"PA0875",1624,2064,1419,2406
"PA0876",4452,5104,5198,6592
"PA0877",1138,1381,1279,1709
"PA0878",395,415,358,567
"PA0879",962,1258,735,1217
"PA0880",429,572,308,492
"PA0881",712,920,791,1423
"PA0882",605,781,739,1246
"PA0883",313,416,347,658
"PA0884",743,985,551,864
"PA0885",609,800,344,619
"PA0886",853,961,616,1081
"PA0887",7953,9569,3280,4076
"PA0887.1",995,874,457,625
"PA0888",8462,9314,10321,10785
"PA0889",3625,3591,3673,3793
"PA0890",3531,3455,3549,3963
"PA0891",2827,3141,3919,5274
"PA0892",3213,3437,3711,4457
"PA0893",3181,3090,3494,4239
"PA0894",836,937,710,1013
"PA0895",9035,9899,10912,12445
"PA0896",3961,4340,5849,6388
"PA0897",3182,3546,5702,6416
"PA0898",3891,4768,7684,9060
"PA0899",5244,5126,7933,9041
"PA0900",3585,3617,4556,5156
"PA0901",4900,5330,7179,7658
"PA0902",2118,2623,2830,3424
"PA0903",19041,19473,23295,25247
"PA0904",11616,11810,12732,14974
"PA0905",1346,929,1429,1489
"PA0905.1",10872,11511,7390,9159
"PA0905.2",4382,3230,3208,3464
"PA0905.3",809,465,483,470
"PA0906",1483,1557,1387,1803
"PA0907",541,639,479,775
"PA0908",474,566,391,511
"PA0909",562,703,496,679
"PA0910",944,1037,773,1038
"PA0911",1286,1131,890,1172
"PA0912",1220,1055,634,884
"PA0913",6003,7082,5541,5824
"PA0914",1077,1033,1013,1074
"PA0915",1377,1403,1296,1506
"PA0916",6352,6209,7098,7310
"PA0917",2829,2826,2676,3293
"PA0918",2333,2390,6176,7336
"PA0919",4775,4296,5794,6691
"PA0920",6684,5963,8319,10557
"PA0921",2412,2247,2252,2629
"PA0922",2306,2361,2447,2541
"PA0922.1",213,251,93,186
"PA0923",1423,2050,1669,2192
"PA0924",2981,3066,1829,2914
"PA0925",2982,3106,2304,2681
"PA0926",3399,3336,2695,3203
"PA0927",2526,2672,2363,3120
"PA0928",5451,5981,5612,7004
"PA0929",1648,1633,1245,1789
"PA0930",1784,2072,1463,2180
"PA0931",5548,4782,2148,3290
"PA0932",5915,5994,6302,6837
"PA0933",4739,5075,5550,6227
"PA0934",9895,9961,8752,10120
"PA0935",2187,2020,1466,1756
"PA0936",7103,6443,5954,6893
"PA0937",3042,2482,2215,2329
"PA0938",9852,8770,6498,7525
"PA0939",480,414,319,436
"PA0940",403,291,351,416
"PA0941",356,232,262,349
"PA0942",695,578,422,572
"PA0943",9399,10198,10797,12532
"PA0944",6930,8017,7580,8750
"PA0945",10768,11716,11727,12438
"PA0946",3705,4160,4199,4854
"PA0947",2928,3028,2528,2714
"PA0948",1806,1795,1770,1956
"PA0949",5295,5435,5272,5800
"PA0950",1969,1923,1951,2146
"PA0951",2098,1744,1314,1618
"PA0951a",1917,2061,2369,2657
"PA0952",2820,2787,2872,3142
"PA0953",832,709,611,618
"PA0954",1621,1771,1757,2077
"PA0955",7206,6806,7069,8276
"PA0956",26702,28073,27540,31840
"PA0957",811,829,773,930
"PA0958",35926,36509,40512,45558
"PA0959",1251,972,856,908
"PA0960",413,330,311,315
"PA0961",5921,6055,5302,6254
"PA0962",15490,11453,17206,18094
"PA0963",30293,30658,35671,38372
"PA0964",20172,21824,24780,27527
"PA0965",3039,2541,2996,3272
"PA0966",3139,2724,3321,3632
"PA0967",5890,6245,5671,6851
"PA0968",4246,3861,3285,3746
"PA0969",13278,13410,12534,13912
"PA0970",5921,5309,5045,5691
"PA0971",10182,10128,9134,10538
"PA0972",28378,28741,27391,33157
"PA0973",29544,26970,35303,38869
"PA0974",13215,15183,13060,14495
"PA0975",2071,1814,1766,1911
"PA0976",2502,3058,2762,3531
"PA0976.1",1405,1957,1439,1887
"PA0978",1139,822,500,631
"PA0979",451,301,165,202
"PA0981",1070,948,355,590
"PA0982",1260,897,716,910
"PA0983",479,266,195,250
"PA0984",676,677,235,365
"PA0985",3824,3347,1995,2648
"PA0986",310,213,113,133
"PA0987",849,645,357,525
"PA0988",852,678,523,618
"PA0989",938,671,397,459
"PA0990",1150,901,620,840
"PA0992",964,716,601,746
"PA0993",702,284,81,143
"PA0994",2862,1705,939,1396
"PA0995",972,617,612,762
"PA0996",1250,1579,825,1318
"PA0997",586,843,461,804
"PA0998",951,1008,493,834
"PA0999",995,1166,676,1121
"PA1000",781,1092,638,999
"PA1001",1387,1721,1224,1918
"PA1002",396,516,415,658
"PA1003",1334,1176,933,1201
"PA1004",5259,5348,4880,5643
"PA1005",4486,4945,5096,6505
"PA1006",742,679,503,557
"PA1007",2095,1878,1659,1971
"PA1008",4222,4055,4982,5139
"PA1009",12834,12812,12201,14480
"PA1010",15685,18298,21408,26149
"PA1011",14429,15783,19586,22680
"PA1012",7188,6848,6299,6832
"PA1013",10532,10009,10501,11654
"PA1013.1",901,1490,789,1073
"PA1014",2967,2263,1784,2041
"PA1015",2050,1707,1616,2080
"PA1016",1217,1604,1666,2160
"PA1017",1192,1487,1286,2240
"PA1018",609,660,596,1251
"PA1019",936,838,677,1048
"PA1019a",276,332,210,350
"PA1020",454,743,646,1033
"PA1021",417,421,475,786
"PA1022",1368,1378,843,1311
"PA1023",1027,1114,920,1217
"PA1024",612,957,1050,1514
"PA1025",1125,1336,723,1113
"PA1026",450,489,382,523
"PA1027",1171,1346,927,1516
"PA1028",1219,1350,1029,1432
"PA1030",1284,1283,1194,1335
"PA1030.1",169,171,112,128
"PA1031",2124,2149,2181,2433
"PA1032",4918,5209,4925,6214
"PA1033",1779,1977,1796,2079
"PA1034",2248,2511,1489,1637
"PA1035",2955,3235,2253,2776
"PA1036",615,736,829,1128
"PA1037",1309,1317,1115,1318
"PA1038",715,958,748,862
"PA1039",1352,1614,1400,1719
"PA1040",1616,1830,1737,2448
"PA1041",442,507,668,870
"PA1042",729,542,415,468
"PA1043",1414,1389,1452,1724
"PA1044",958,930,818,1133
"PA1045",6518,7462,6978,8057
"PA1046",2707,3123,2940,3923
"PA1047",2546,2880,2625,3288
"PA1048",12188,14024,9859,12145
"PA1049",3853,4360,5651,6579
"PA1050",1243,1612,2055,2561
"PA1051",2297,2644,2921,3407
"PA1052",494,558,1099,1638
"PA1052a",730,646,988,1263
"PA1053",18066,15264,25643,29978
"PA1054",6041,6479,7906,9631
"PA1055",1346,1512,1496,1842
"PA1056",3436,3982,4241,5123
"PA1057",2494,2410,2579,3054
"PA1058",1459,1477,1595,1863
"PA1059",1778,1568,1564,1871
"PA1060",1923,2102,1861,2556
"PA1061",2157,2245,2414,2854
"PA1062",927,987,1160,1266
"PA1063",1109,1398,1146,1254
"PA1064",4007,4228,4083,4495
"PA1065",619,688,908,1169
"PA1066",744,663,1511,1838
"PA1067",828,1038,660,929
"PA1068",10871,10172,5923,7175
"PA1069",8926,7366,4877,5469
"PA1070",1272,1151,1065,1347
"PA1071",1597,1839,1597,1975
"PA1072",1832,2180,1753,2180
"PA1073",1685,1846,1757,1875
"PA1074",10148,11921,12779,14202
"PA1075",823,897,818,977
"PA1076",2548,2814,5139,5364
"PA1077",4838,6253,5478,7521
"PA1078",3784,4332,4519,5709
"PA1079",3982,3925,4778,5381
"PA1080",15777,16063,22923,27012
"PA1081",2831,3007,4031,4918
"PA1082",8375,9558,11341,14251
"PA1083",4617,4726,6034,7023
"PA1084",4085,5098,6237,7298
"PA1085",5514,5698,7594,9368
"PA1086",12389,12897,16187,19967
"PA1087",7490,8106,10507,12498
"PA1088",1897,1872,2141,2438
"PA1089",1475,1373,1633,1760
"PA1090",1374,1219,1301,1527
"PA1091",10118,10138,13074,16955
"PA1092",116759,116098,170262,200345
"PA1093",4315,4642,5789,6621
"PA1094",27444,30660,33651,40101
"PA1095",4519,4190,6427,6785
"PA1096",6572,6114,6092,8023
"PA1097",9266,9627,12263,13713
"PA1098",5351,6113,7009,8102
"PA1099",2832,3193,4596,5759
"PA1100",1291,1330,1424,1638
"PA1101",4653,5098,5891,6942
"PA1102",5988,6799,7776,8746
"PA1103",2501,2649,3353,3680
"PA1104",2401,2787,3424,3930
"PA1105",672,727,722,991
"PA1106",1778,2250,2091,2681
"PA1107",1045,1442,971,1364
"PA1108",417,524,477,803
"PA1109",567,718,779,1047
"PA1110",848,991,1035,1275
"PA1111",459,572,428,727
"PA1112",1746,2059,1840,2270
"PA1112.1",2281,2202,2713,2938
"PA1112a",776,758,802,851
"PA1112b",2161,2063,2605,2803
"PA1113",1290,1518,1564,2244
"PA1114",312,280,534,759
"PA1115",3821,4016,4535,5634
"PA1116",2809,2542,2252,2628
"PA1117",774,890,1235,1441
"PA1118",948,1104,1010,1286
"PA1119",2660,3343,3289,4203
"PA1120",2110,2886,2320,3064
"PA1121",944,1181,932,1179
"PA1123",878,963,2112,1983
"PA1124",2071,2106,1804,2150
"PA1125",759,907,1034,1417
"PA1126",2790,2591,2116,2547
"PA1127",3073,3846,4590,5260
"PA1128",807,876,808,1125
"PA1129",341,382,478,695
"PA1130",432,533,583,984
"PA1131",369,412,465,973
"PA1132",3070,3196,2876,3188
"PA1133",389,487,472,676
"PA1134",566,547,412,629
"PA1135",1211,1188,1368,1580
"PA1136",673,827,980,1279
"PA1137",560,729,2208,2706
"PA1138",358,516,510,862
"PA1139",502,628,718,1243
"PA1140",1483,1626,1176,1568
"PA1141",954,1286,909,1439
"PA1142",944,1250,1280,1629
"PA1143",194,212,287,629
"PA1144",677,752,683,1119
"PA1145",990,1269,776,1203
"PA1146",323,465,613,1133
"PA1147",638,800,691,1258
"PA1148",1169,1470,1092,1798
"PA1149",382,439,353,600
"PA1150",5377,4755,3921,4716
"PA1151",3203,3913,3150,4226
"PA1153",314,369,401,689
"PA1154",915,785,454,583
"PA1155",41483,39423,61675,74303
"PA1156",115182,107299,131998,163298
"PA1157",1285,1405,1374,1712
"PA1158",1357,1582,1329,2006
"PA1159",2196,1476,1790,1866
"PA1160",510,531,1004,1365
"PA1161",2056,2248,3023,3738
"PA1162",6158,6882,7522,8838
"PA1163",2009,2581,2182,3491
"PA1164",1904,2252,1944,2777
"PA1165",306,349,385,625
"PA1166",590,843,496,940
"PA1167",702,915,522,824
"PA1168",382,178,64,123
"PA1169",1821,1971,1263,1957
"PA1170",2136,2384,2486,3035
"PA1171",4080,3783,3093,3594
"PA1172",721,516,511,633
"PA1173",330,268,293,333
"PA1174",1872,2297,2245,3108
"PA1175",198,246,344,434
"PA1176",78,101,233,410
"PA1177",153,129,175,214
"PA1178",200381,227401,319168,378221
"PA1179",36403,36916,59138,66182
"PA1180",13851,12342,21212,23329
"PA1181",5855,5885,6856,8882
"PA1182",875,940,851,1350
"PA1183",15513,16125,13107,14803
"PA1184",808,1098,836,1350
"PA1185",521,593,394,606
"PA1186",394,594,456,770
"PA1187",1017,1128,690,999
"PA1188",643,862,974,1478
"PA1189",1341,1595,1157,1540
"PA1190",710,713,452,598
"PA1191",718,892,607,803
"PA1192",3502,3593,3688,3880
"PA1193",3333,3552,3510,4166
"PA1194",1457,1620,1319,1979
"PA1195",798,689,490,785
"PA1196",1174,1624,2164,2892
"PA1197",1475,1777,1707,2213
"PA1198",6672,6694,8066,8302
"PA1199",6046,6813,7515,8663
"PA1200",2094,2643,2780,3207
"PA1201",985,1291,900,1262
"PA1202",2497,2626,2112,2728
"PA1203",1284,1403,1082,1463
"PA1204",926,927,934,1304
"PA1205",1764,2220,2187,2968
"PA1206",1751,1811,1596,1780
"PA1207",5422,5687,5556,6688
"PA1208",1721,1980,1431,2109
"PA1209",656,724,714,1203
"PA1210",481,676,617,952
"PA1211",96,185,188,462
"PA1212",708,1060,590,1014
"PA1213",398,652,471,926
"PA1214",356,617,574,1076
"PA1215",460,509,441,1004
"PA1216",803,904,610,937
"PA1217",899,1285,921,1477
"PA1218",614,757,438,823
"PA1219",216,335,199,392
"PA1220",470,621,570,1139
"PA1221",1160,1444,799,1503
"PA1222",2121,2367,2832,3420
"PA1223",571,695,953,1409
"PA1224",767,892,819,1066
"PA1225",356,410,529,843
"PA1226",460,508,531,830
"PA1227",1261,1162,1428,1980
"PA1228",3779,3482,2696,3325
"PA1229",628,839,779,1262
"PA1230",252,229,111,213
"PA1231",335,475,346,791
"PA1232",618,849,741,1221
"PA1233",370,440,419,536
"PA1234",621,687,684,909
"PA1235",407,494,646,819
"PA1236",852,1182,809,1198
"PA1237",152,237,206,502
"PA1238",193,224,291,644
"PA1239",481,641,686,1131
"PA1240",451,562,661,1032
"PA1241",1303,1392,1195,1486
"PA1242",1152,1323,1491,1930
"PA1243",2813,3156,3527,4645
"PA1244",4880,5109,7947,9236
"PA1245",769,909,629,1069
"PA1246",816,978,873,1302
"PA1247",865,1039,773,1268
"PA1248",918,1129,693,1251
"PA1249",1081,1016,605,992
"PA1250",158,169,203,418
"PA1251",790,978,846,1581
"PA1252",594,842,745,1140
"PA1253",400,616,533,1106
"PA1254",632,536,322,553
"PA1255",391,700,499,945
"PA1256",746,889,552,776
"PA1257",391,388,365,578
"PA1258",419,500,330,477
"PA1259",364,554,544,1000
"PA1260",605,714,403,769
"PA1261",377,463,529,842
"PA1262",439,377,542,1053
"PA1263",898,973,1054,1343
"PA1264",252,290,383,621
"PA1265",225,224,205,404
"PA1266",60,86,165,380
"PA1267",190,170,290,522
"PA1268",296,399,531,932
"PA1269",1014,1178,1094,1407
"PA1270",689,898,594,1148
"PA1271",6648,7257,6260,7011
"PA1272",2136,1969,2116,2443
"PA1273",2169,2075,2792,3859
"PA1274",601,594,981,1295
"PA1275",587,518,814,1162
"PA1276",576,550,936,1405
"PA1277",1805,2029,2575,3528
"PA1278",531,500,776,1013
"PA1279",426,397,903,1317
"PA1280",305,285,470,729
"PA1281",359,429,708,947
"PA1282",600,678,977,1692
"PA1283",546,713,612,753
"PA1284",1367,1835,1283,1800
"PA1285",384,390,314,545
"PA1286",510,630,609,1071
"PA1287",779,894,806,976
"PA1288",24531,26827,27354,31056
"PA1289",430,425,540,825
"PA1290",758,732,478,698
"PA1291",768,957,919,1262
"PA1292",4246,4468,4419,5436
"PA1293",5031,5816,4168,5302
"PA1294",2863,3125,3506,4271
"PA1295",1402,1714,1282,1582
"PA1296",2725,2825,2774,3041
"PA1297",1330,1597,1030,1490
"PA1298",346,431,254,369
"PA1299",1873,2055,1461,1778
"PA1300",1895,2213,883,1341
"PA1301",1426,1553,1067,1543
"PA1302",4927,5162,2725,4018
"PA1303",1099,1464,1054,1318
"PA1304",5098,5994,6491,8148
"PA1305",2603,3026,2944,3418
"PA1306",2243,2736,2762,3432
"PA1307",2103,2358,2657,3025
"PA1308",1155,1246,1364,1529
"PA1309",1077,1389,1233,1802
"PA1310",968,1284,728,1199
"PA1311",748,893,491,868
"PA1312",783,930,864,1214
"PA1313",695,809,612,1020
"PA1314",375,499,365,501
"PA1315",901,994,810,1026
"PA1316",1394,1442,1321,2020
"PA1317",10095,8826,10044,12263
"PA1318",21331,18877,22225,27394
"PA1319",6982,6215,7576,9380
"PA1320",1387,1136,1709,1862
"PA1321",4215,4406,5622,6877
"PA1322",2058,2656,1413,2081
"PA1323",3198,3533,4197,5337
"PA1324",8256,8445,7948,10289
"PA1324.1",175,226,114,175
"PA1325",520,626,608,804
"PA1326",1288,1742,1627,2606
"PA1327",1241,1599,1292,2065
"PA1328",608,917,917,1452
"PA1329",137,159,133,206
"PA1330",560,497,579,820
"PA1331",941,1070,1340,1792
"PA1332",694,845,893,1193
"PA1333",562,570,739,851
"PA1334",496,679,568,1092
"PA1335",1151,1432,1141,1526
"PA1336",2310,2760,2495,3469
"PA1337",2027,2549,3149,3787
"PA1338",2437,3131,2264,2981
"PA1339",1868,1723,1680,1799
"PA1340",1367,1227,994,1035
"PA1341",1068,1161,1009,1049
"PA1342",5130,5160,3889,4446
"PA1343",2431,2192,3813,3938
"PA1344",1522,1352,2222,2657
"PA1345",931,1180,1044,1547
"PA1346",446,443,381,751
"PA1347",656,504,255,359
"PA1348",497,359,209,388
"PA1349",233,285,201,346
"PA1350",578,815,527,799
"PA1351",269,430,500,808
"PA1352",157,247,195,353
"PA1353",325,366,202,283
"PA1354",467,452,268,463
"PA1355",73,84,83,190
"PA1356",274,419,477,931
"PA1357",488,711,950,1107
"PA1358",734,976,923,1146
"PA1359",1057,1193,1224,1504
"PA1360",921,864,1128,1622
"PA1361",1765,1866,2202,2673
"PA1362",478,503,278,427
"PA1363",2188,2637,1467,1899
"PA1364",1397,1568,1071,1696
"PA1365",5219,6212,4521,6153
"PA1366",1577,1384,1253,1501
"PA1367",820,899,578,785
"PA1368",1702,849,420,538
"PA1369",1027,780,369,396
"PA1370",3538,2162,1070,1303
"PA1371",2012,1368,996,1375
"PA1372",9430,7959,7402,9315
"PA1373",589,727,1163,2018
"PA1374",605,691,445,674
"PA1375",806,691,1120,1565
"PA1376",2613,2593,2612,3331
"PA1377",1054,1165,1084,1719
"PA1378",552,585,373,494
"PA1379",534,483,504,657
"PA1380",708,872,537,1004
"PA1381",797,436,190,273
"PA1382",3013,1772,1459,1831
"PA1383",2380,1601,1119,1475
"PA1384",1715,648,345,423
"PA1385",1310,620,285,331
"PA1386",1442,686,277,429
"PA1387",2025,1059,733,974
"PA1388",803,407,257,306
"PA1389",1682,840,627,720
"PA1390",1291,913,485,670
"PA1391",1617,1301,725,1039
"PA1392",1351,607,355,509
"PA1393",688,308,169,222
"PA1394",214,220,172,331
"PA1395",701,573,336,463
"PA1396",3046,3218,1564,2157
"PA1397",1085,1234,1038,1333
"PA1398",561,585,566,831
"PA1399",364,409,609,963
"PA1400",1759,2192,2355,3729
"PA1401",3233,2921,2499,2591
"PA1402",7577,7843,7249,7439
"PA1403",461,569,478,699
"PA1404",340,394,222,318
"PA1405",1932,2395,2201,2983
"PA1406",645,1052,865,1280
"PA1407",1199,1219,1342,1872
"PA1408",1463,1817,1936,3045
"PA1409",570,725,410,883
"PA1410",821,1003,603,893
"PA1411",627,659,614,1050
"PA1412",199,184,250,622
"PA1413",558,638,624,965
"PA1414",2071,2495,5111,6214
"PA1415",2088,2554,3472,4862
"PA1416",608,678,688,1033
"PA1417",533,758,553,1070
"PA1418",669,909,634,945
"PA1419",979,1296,852,1417
"PA1420",495,610,366,536
"PA1421",1305,1536,1163,1389
"PA1422",1435,1774,1228,1357
"PA1423",1702,2053,1652,2202
"PA1424",514,565,539,752
"PA1424a",615,652,531,719
"PA1425",740,1027,1255,1970
"PA1428",494,480,494,670
"PA1428a",1950,2199,1672,2242
"PA1429",2236,2430,6313,7061
"PA1430",2470,2480,2755,3159
"PA1431",727,606,505,623
"PA1432",3414,3109,3350,3219
"PA1433",2084,2241,2234,2761
"PA1434",791,866,746,1181
"PA1435",368,458,438,920
"PA1436",1693,2635,1575,2468
"PA1437",676,814,682,1012
"PA1438",886,1032,1100,1660
"PA1439",1407,1310,1483,1942
"PA1440",8095,8669,10042,10799
"PA1441",3314,3529,5372,6809
"PA1442",1340,1330,1185,1355
"PA1443",4802,5382,5063,6111
"PA1444",994,943,1661,1887
"PA1445",1000,1304,1872,2310
"PA1446",1904,2261,2767,3201
"PA1447",658,572,591,674
"PA1448",870,938,789,1041
"PA1449",1204,1442,1072,1474
"PA1450",1043,1250,877,1339
"PA1451",1057,1046,823,1163
"PA1452",4978,5552,5216,5783
"PA1453",2888,3075,4865,5654
"PA1454",8329,8751,10306,11584
"PA1455",4402,5015,5825,6624
"PA1456",3624,3449,4470,4960
"PA1457",5553,4531,6238,6665
"PA1458",7121,6259,10107,11032
"PA1459",4378,4508,7039,7936
"PA1460",2433,2284,3260,3515
"PA1461",2035,1870,2938,3219
"PA1462",3401,3452,4228,5231
"PA1463",2094,2085,3185,3887
"PA1464",3861,2974,5432,5547
"PA1465",421,432,966,1313
"PA1466",1064,1268,1588,1918
"PA1467",567,709,550,850
"PA1468",442,455,242,433
"PA1469",439,478,411,653
"PA1470",537,602,493,786
"PA1471",2331,2394,1556,1969
"PA1472",796,984,578,884
"PA1473",851,1024,1041,1381
"PA1474",2092,2532,3421,4461
"PA1475",1664,1614,2270,2575
"PA1476",1107,1241,1399,1636
"PA1477",1918,1806,2022,2153
"PA1478",774,860,1131,1172
"PA1479",1871,1987,2729,2840
"PA1480",6217,5699,8860,9550
"PA1481",2638,2849,3850,4601
"PA1482",3523,3333,4047,4746
"PA1483",2419,2687,3638,4025
"PA1483a",517,570,644,808
"PA1484",968,922,724,1012
"PA1485",1025,1204,791,1220
"PA1486",316,336,654,1043
"PA1487",1006,1205,1112,1691
"PA1488",495,596,766,1204
"PA1489",1144,1378,1191,1622
"PA1490",1430,1687,1019,1313
"PA1491",1075,990,665,782
"PA1492",311,475,310,347
"PA1493",9855,10374,8427,10076
"PA1494",2793,2635,2650,3321
"PA1495",297,382,442,868
"PA1496",981,1030,1001,1157
"PA1497",173,170,229,440
"PA1498",853,1195,870,1299
"PA1499",792,1008,643,1172
"PA1500",678,950,642,896
"PA1501",770,906,560,903
"PA1502",1295,1767,953,1537
"PA1503",309,292,272,366
"PA1504",4122,4254,3537,4299
"PA1505",4127,5845,6452,8611
"PA1506",269,353,491,665
"PA1507",1076,1481,927,1329
"PA1508",443,273,245,266
"PA1509",1922,1113,776,1019
"PA1510",2212,1188,683,776
"PA1511",2871,2489,1529,2319
"PA1512",640,520,347,444
"PA1513",1895,1728,2547,3035
"PA1514",842,685,928,981
"PA1515",1575,1570,1649,2202
"PA1516",1272,1532,1734,1967
"PA1517",2098,2385,2604,3266
"PA1518",1054,876,820,967
"PA1519",1063,1118,714,1109
"PA1520",4775,5701,4404,5089
"PA1521",2410,2669,3403,4099
"PA1522",790,1020,1341,1719
"PA1523",2258,2635,3753,4342
"PA1524",1108,1808,2507,3571
"PA1525",1092,1142,603,918
"PA1526",3648,4762,4115,5008
"PA1527",7790,7894,9117,10881
"PA1528",6887,6880,7554,8642
"PA1529",5478,5768,6441,7556
"PA1530",914,788,1006,1064
"PA1530.1",1807,1967,1775,2076
"PA1531",1516,1729,1362,1684
"PA1532",10446,9879,12734,14136
"PA1533",7900,7944,9221,10348
"PA1534",4428,4567,5473,5856
"PA1535",1612,1633,1253,1783
"PA1536",867,928,765,1092
"PA1537",519,728,605,888
"PA1538",1292,1270,851,1188
"PA1539",816,743,1123,1475
"PA1540",581,621,784,1040
"PA1541",950,801,709,796
"PA1542",1308,1015,1019,1197
"PA1543",3921,4340,4261,4593
"PA1544",5264,5456,6678,7092
"PA1545",727,683,970,1016
"PA1546",19557,19000,30365,34305
"PA1547",587,781,1022,1232
"PA1548",700,865,1090,1159
"PA1549",4633,5018,10126,11584
"PA1550",3179,3137,6184,6955
"PA1551",10599,11911,20843,24377
"PA1552",27897,27662,33358,38016
"PA1552.1",6716,6547,7129,8628
"PA1553",12507,12816,16454,17443
"PA1554",44498,39658,48163,50584
"PA1555",20370,17295,29058,34811
"PA1555.1",3668,2939,4629,5677
"PA1556",7790,6286,12799,13267
"PA1557",31340,26665,43841,50351
"PA1558",391,445,436,622
"PA1561",12336,10926,30357,33377
"PA1562",11443,12985,31111,34789
"PA1563",2268,2900,2190,2819
"PA1564",1038,1077,1219,1381
"PA1565",2041,2304,2456,2858
"PA1566",906,1195,1343,2145
"PA1567",767,875,886,1401
"PA1568",285,321,235,282
"PA1569",897,1115,740,1178
"PA1570",1001,1243,1098,1436
"PA1571",931,970,1081,1252
"PA1572",1043,1122,1413,1637
"PA1573",1002,1116,1245,1398
"PA1574",1179,1193,1231,1420
"PA1575",700,912,564,757
"PA1576",1206,1319,1486,1722
"PA1577",686,652,483,556
"PA1578",275,246,402,671
"PA1578a",288,340,244,327
"PA1579",2562,2407,2003,2323
"PA1580",56211,58121,50128,60434
"PA1581",27801,27438,26793,29653
"PA1582",20705,19299,22145,24398
"PA1583",84695,88844,106204,119546
"PA1584",39244,41454,44571,52914
"PA1585",113317,109663,118502,135412
"PA1586",36913,35804,41623,49544
"PA1587",47974,51378,62344,71127
"PA1588",106764,102928,107118,120517
"PA1589",59448,56426,63028,69628
"PA1590",5399,5085,5437,5572
"PA1591",1297,1262,1186,1497
"PA1592",70935,71520,49325,59539
"PA1593",835,734,830,1166
"PA1594",768,824,737,1022
"PA1595",717,811,866,1233
"PA1596",13574,15403,30878,34824
"PA1597",634,785,1119,1588
"PA1598",873,1119,1246,1561
"PA1599",549,661,834,1250
"PA1600",631,697,1270,2098
"PA1601",2490,3104,4851,7031
"PA1602",1722,2121,1653,2478
"PA1603",539,603,642,993
"PA1604",1256,1299,1474,1840
"PA1605",1246,1116,825,1141
"PA1606",649,543,386,508
"PA1607",738,922,1410,1699
"PA1608",3784,4054,5799,6455
"PA1609",75854,85251,91232,113617
"PA1610",23629,25814,27607,32681
"PA1611",3525,3746,3394,4442
"PA1612",1108,1151,1016,1325
"PA1613",4415,5098,3575,4643
"PA1614",4713,4529,5688,6409
"PA1615",1315,1194,1649,1807
"PA1616",1020,1105,1788,2091
"PA1617",1602,1772,1293,1833
"PA1618",1114,1436,1290,1634
"PA1619",590,783,921,1369
"PA1620",238,230,368,480
"PA1621",672,870,1025,1363
"PA1622",707,787,723,1045
"PA1623",2133,2128,2876,3271
