Replicate,Genotype
1,WT
2,WT
3,WT
1,rsmA
2,rsmA
3,rmsA
1,rsmArpoN
2,rsmArpoN
3,rsmArpoN
1,rsmAsfa2
2,rsmAsfa2
3,rsmAsfa2
1,rsmAsfa3
2,rsmAsfa3
3,rsmAsfa3
